fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Denzel Dumfries,Netherlands,282,Defensive Specialist,8.5,7.2,8.8,7.1,8.4
Raphaël Adelino José Guerreiro,Portugal,106,Progressive Playmaker,8.8,7.9,6.0,8.8,8.4
Antonee Robinson,United States,106,Progressive Playmaker,8.6,7.7,7.2,8.3,8.0
Youssouf Sabaly,Senegal,106,Attacking Wing-Back,8.1,7.5,7.9,8.2,8.0
Urby Emanuelson,Hellas Verona,27,Attacking Wing-Back,8.2,8.5,6.7,9.0,7.3
Lorenzo De Silvestri,Sampdoria,27,Progressive Playmaker,8.5,8.1,7.4,8.0,7.7
Luca Rossettini,Bologna,27,Progressive Playmaker,8.5,7.5,8.3,7.1,8.2
Nicolas Sebastian Frey,Chievo,27,Progressive Playmaker,8.4,8.1,6.2,8.0,8.7
Ivan Perišić,Croatia,106,Defensive Specialist,8.8,6.6,8.8,6.4,8.8
Nouhou Tolo,Cameroon,106,Progressive Playmaker,8.5,8.4,7.6,7.7,7.2
Aziz Eraltay Behich,Australia,106,Progressive Playmaker,8.7,7.9,8.8,7.3,6.7
José Diogo Dalot Teixeira,Portugal,106,Attacking Wing-Back,7.7,7.9,7.7,7.8,8.2
Kyle Walker,England,282,Complete Fullback,7.9,7.7,8.4,8.1,7.1
Andrea Conti,Atalanta,27,Progressive Playmaker,8.4,8.3,7.6,7.5,7.4
David Raum,Germany,106,Defensive Specialist,8.2,7.3,7.1,7.6,8.8
Archimede Morleo,Bologna,27,Progressive Playmaker,8.6,6.9,7.5,7.5,8.5
Abdul Rahman Baba,Ghana,106,Defensive Specialist,7.5,6.8,8.8,7.1,8.7
Guillermo Varela Olivera,Uruguay,106,Complete Fullback,7.1,7.8,8.4,7.7,7.9
Stefan Posch,Austria,282,Defensive Specialist,7.9,7.5,7.9,7.1,8.2
Luca Bittante,Empoli,27,Progressive Playmaker,8.3,7.4,7.1,7.8,8.0
Jin-Su Kim,South Korea,106,Progressive Playmaker,8.1,7.5,6.9,7.2,8.8
Presnel Kimpembe,Paris Saint-Germain,108,Complete Fullback,7.5,7.6,8.0,8.1,7.3
Martín Montoya Torralbo,Inter Milan,27,Attacking Wing-Back,7.4,7.8,7.2,8.4,7.6
Birger Meling,Rennes,108,Defensive Specialist,7.2,7.0,8.6,7.3,8.3
Matty Cash,Poland,106,Progressive Playmaker,7.9,7.3,7.4,7.5,8.0
Piero Martín Hincapié Reyna,Bayer Leverkusen,281,Progressive Playmaker,8.6,8.0,6.8,7.7,7.0
José Ángel Valdés Díaz,Eibar,4,Defensive Specialist,8.0,7.0,7.4,6.9,8.6
Dávid Hancko,Slovakia,282,Progressive Playmaker,8.3,7.4,7.1,6.9,8.1
Nicușor Silviu Bancu,Romania,282,Progressive Playmaker,8.2,7.5,6.8,7.7,7.5
Ivan Strinić,Napoli,27,Complete Fullback,7.8,8.1,8.4,7.0,6.4
Houboulang Mendes,Lorient,108,Attacking Wing-Back,6.9,7.8,7.7,7.7,7.6
John Arne Semundseth Riise,Liverpool,44,Defensive Specialist,7.2,7.0,8.7,6.2,8.6
Omar Haktab Traorè,FC Heidenheim,281,Attacking Wing-Back,7.3,7.2,7.2,8.2,7.8
Giuseppe Pezzella,Palermo,27,Attacking Wing-Back,7.9,7.3,6.7,8.1,7.7
Alejandro Moreno Lopera,Real Betis,90,Complete Fullback,7.3,7.1,8.0,8.4,6.8
Julian Ryerson,Borussia Dortmund,281,Complete Fullback,7.7,8.2,8.1,6.7,6.9
Marius Wolf,Borussia Dortmund,281,Defensive Specialist,6.9,6.8,8.5,7.4,8.0
Borna Sosa,Croatia,106,Progressive Playmaker,8.2,7.4,7.6,6.9,7.5
Cristian Raimondi,Atalanta,27,Attacking Wing-Back,7.9,7.9,7.5,7.5,6.6
Eduardo Camavinga,France,106,Attacking Wing-Back,7.3,7.9,7.4,8.0,6.8
Bafodé Diakité,Lille,235,Attacking Wing-Back,7.0,8.0,7.5,8.3,6.4
Ramin Rezaeian,Iran,106,Defensive Specialist,7.0,7.1,7.9,6.9,8.3
Mohamed Youssouf,AC Ajaccio,235,Attacking Wing-Back,7.3,7.9,7.7,7.5,6.7
Cristiano Piccini,Valencia,4,Complete Fullback,7.2,7.9,8.2,7.4,6.4
Simone Padoin,Juventus,27,Attacking Wing-Back,7.3,7.7,6.7,8.5,6.8
Ignacio Vidal Miralles,Osasuna,90,Defensive Specialist,6.8,6.4,8.4,7.4,7.9
Hamari Traoré,Rennes,108,Defensive Specialist,7.0,7.1,7.8,7.1,7.9
Ben Davies,Wales,106,Progressive Playmaker,8.2,7.6,7.0,7.4,6.7
Ridle Bote Baku,Wolfsburg,281,Defensive Specialist,7.3,6.6,8.1,6.3,8.6
Vincent Le Goff,Lorient,108,Complete Fullback,7.2,6.6,8.5,7.0,7.4
Mario Mitaj,Albania,282,Progressive Playmaker,8.3,8.2,7.0,7.0,6.1
Matthias Bader,Darmstadt 98,281,Complete Fullback,7.4,6.6,8.1,7.0,7.3
Oleksandr Zinchenko,Ukraine,282,Complete Fullback,7.3,6.9,8.0,6.9,7.2
José Luis Gayà Peña,Valencia,90,Defensive Specialist,7.0,6.1,8.2,7.2,7.6
Rasmus Carstensen,FC Köln,281,Defensive Specialist,7.3,6.1,7.4,8.0,7.2
Alex Sandro Lobo Silva,Brazil,106,Attacking Wing-Back,7.4,7.7,6.7,7.5,6.7
Michael Tarnat,Manchester City,44,Defensive Specialist,7.2,6.4,7.3,6.3,8.7
Emerson Aparecido Leite de Souza Junior,Real Betis,90,Complete Fullback,6.9,6.6,8.1,7.5,6.8
Emir Karic,Darmstadt 98,281,Attacking Wing-Back,7.3,7.1,7.4,7.4,6.7
Ander Capa Rodríguez,Athletic Club,90,Complete Fullback,6.8,6.9,8.0,7.9,6.3
Gary Alexis Medel Soto,Inter Milan,27,Attacking Wing-Back,6.8,7.5,7.7,7.6,6.0
Jonas Föhrenbach,FC Heidenheim,281,Progressive Playmaker,7.8,6.5,6.8,6.8,7.5
Ismail Jakobs,Senegal,106,Defensive Specialist,7.4,6.5,7.1,6.8,7.5
Jorge Miramón Santagertrudis,Levante UD,42,Complete Fullback,6.4,7.3,8.7,6.7,6.2
Lee Naylor,Wolverhampton Wanderers,44,Defensive Specialist,7.0,6.5,7.2,6.3,8.3
Giovanni Pasquale,Udinese,27,Defensive Specialist,6.9,6.1,7.4,6.5,8.1
Timothy Weah,Lille,235,Defensive Specialist,6.5,6.5,7.7,6.7,7.6
Mathías Olivera Miramontes,Uruguay,106,Progressive Playmaker,7.3,7.4,6.5,6.2,7.6
Ferland Mendy,Real Madrid,90,Progressive Playmaker,7.3,7.3,7.1,6.4,6.9
Joseba Zaldúa Bengoetxea,Real Sociedad,4,Attacking Wing-Back,7.3,6.3,7.1,8.1,6.2
Peter Pekarík,Slovakia,282,Progressive Playmaker,8.0,6.4,6.4,7.0,7.1
Iago Amaral Borduchi,Augsburg,281,Progressive Playmaker,7.7,6.9,7.0,6.3,6.9
Ismaily Gonçalves dos Santos,Lille,235,Complete Fullback,6.4,6.9,7.9,6.7,6.8
Thomas Foket,Stade de Reims,235,Complete Fullback,6.3,6.9,8.2,6.4,6.9
Erik Janža,Slovenia,282,Defensive Specialist,7.3,6.0,7.3,6.5,7.5
Yahia Attiyat allah,Morocco,106,Defensive Specialist,7.4,6.2,6.9,6.8,7.3
Jesús Daniel Gallardo Vasconcelos,Mexico,106,Complete Fullback,7.4,6.1,8.0,6.2,6.8
Maximilian Wittek,Bochum,281,Defensive Specialist,6.5,6.8,6.2,6.8,8.2
Gary Oliver Kelly,Leeds United,44,Defensive Specialist,6.6,6.4,6.7,6.6,8.2
Giovanni Di Lorenzo,Italy,282,Complete Fullback,6.9,6.8,7.1,6.9,6.7
Miloš Degenek,Australia,106,Defensive Specialist,6.8,6.4,7.1,6.7,7.4
José Rodolfo Pires Ribeiro,Sampdoria,27,Progressive Playmaker,7.9,7.4,6.1,5.6,7.4
Pervis Josué Estupiñán Tenorio,Villarreal,90,Attacking Wing-Back,6.7,6.6,6.3,7.5,7.1
Mehmet Zeki Çelik,Lille,108,Defensive Specialist,6.9,6.3,6.9,6.5,7.6
Nuno Albertino Varela Tavares,Marseille,235,Complete Fullback,6.4,6.9,7.4,6.7,6.7
Noussair Mazraoui,Morocco,106,Attacking Wing-Back,7.1,6.9,6.4,7.9,5.8
Rubén Duarte Sánchez,Deportivo Alavés,4,Progressive Playmaker,7.7,7.0,6.3,6.7,6.4
Marcos Aoás Corrêa,Paris Saint-Germain,235,Complete Fullback,6.4,6.5,8.1,7.2,5.9
Max Finkgräfe,FC Köln,281,Complete Fullback,6.4,6.3,7.2,7.7,6.4
Filipe Luís Kasmirski,Atlético Madrid,4,Complete Fullback,7.2,6.5,7.5,6.4,6.4
Jihai Sun,Manchester City,44,Defensive Specialist,6.7,6.4,6.8,6.3,7.8
Roberto Vitiello,Palermo,27,Progressive Playmaker,7.2,7.2,5.8,6.5,7.2
Mert Müldür,Turkey,282,Attacking Wing-Back,6.8,7.4,6.1,6.6,6.9
Danilo Luís Hélio Pereira,Paris Saint-Germain,108,Progressive Playmaker,7.1,7.8,6.2,6.1,6.6
Alphonso Davies,Bayern Munich,281,Attacking Wing-Back,6.5,6.9,6.6,7.1,6.6
