fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Lucas Hernández Pi,France,106,Attacking Wing-Back,5.2,5.2,5.2,5.2,5.2
Fabian Frei,Switzerland,106,Attacking Wing-Back,5.2,5.2,5.2,5.2,5.2
Issa Cissokho,Genoa,27,Attacking Wing-Back,5.0,5.2,4.7,5.5,5.6
Jordan Morris,United States,106,Attacking Wing-Back,5.2,5.2,5.2,5.2,5.2
Joshua Zirkzee,Netherlands,282,Attacking Wing-Back,5.2,5.2,5.2,5.2,5.2
Norbert Gyömbér,AS Roma,27,Attacking Wing-Back,5.1,5.4,5.1,5.1,5.1
Juan Camilo Zúñiga Mosquera,Bologna,27,Attacking Wing-Back,5.1,5.4,4.9,5.3,5.1
Marios Oikonomou,Bologna,27,Attacking Wing-Back,4.9,5.0,5.1,5.2,5.1
Juan Guillermo Cuadrado Bello,Juventus,27,Defensive Specialist,4.8,4.8,5.5,4.8,5.4
Rafael Tolói,Atalanta,27,Attacking Wing-Back,5.1,5.3,4.9,5.0,4.8
Filippo Costa,Chievo,27,Complete Fullback,5.0,4.7,5.4,4.9,5.1
Blerim Džemaili,Genoa,27,Defensive Specialist,4.9,4.9,4.7,5.1,5.5
Wallace Oliveira dos Santos,Carpi,27,Complete Fullback,4.7,4.7,5.3,4.9,5.1
Luca Paganini,Frosinone,27,Attacking Wing-Back,4.9,5.1,4.7,5.3,4.7
Filip Helander,Hellas Verona,27,Attacking Wing-Back,5.1,5.0,4.7,4.9,5.0
Modibo Diakité,Sampdoria,27,Progressive Playmaker,5.5,4.7,4.7,4.7,4.8
Vasyl Pryyma,Frosinone,27,Defensive Specialist,4.8,4.7,4.7,4.7,5.3
Maurício dos Santos Nascimento,Lazio,27,Complete Fullback,4.7,4.8,5.2,4.7,4.7
Claud Adjapong,Sassuolo,27,Attacking Wing-Back,4.7,5.0,4.9,4.7,4.7
Emil Krafth,Bologna,27,Attacking Wing-Back,4.7,4.8,4.8,4.9,4.7
Luca Rizzo,Bologna,27,Attacking Wing-Back,4.7,4.8,4.9,4.7,4.7
Paolo Cannavaro,Sassuolo,27,Attacking Wing-Back,4.8,4.7,4.7,4.8,4.7
Marcelo Alejandro Estigarribia Balmori,Atalanta,27,Attacking Wing-Back,4.7,4.7,4.7,4.7,4.9
Marco D''Alessandro,Atalanta,27,Attacking Wing-Back,4.7,4.7,4.7,4.7,4.9
Aleksandar Tonev,Frosinone,27,Attacking Wing-Back,4.7,4.7,4.7,4.7,4.7
Filippo Falco,Bologna,27,Attacking Wing-Back,4.7,4.7,4.7,4.7,4.7
