,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id
120,Daniel Alves da Silva,Brazil,130.97,6.4,6.8,5.9,6.8,6.7,2,1.5,0.03,0.03,0.02,0.02,0.0,6.52,43,106
369,Mario Gaspar Pérez Martínez,Villarreal,94.82,6.1,6.2,8.1,5.8,6.4,2,1.1,0.03,0.04,0.03,0.03,0.0,6.52,11,90
377,Martín Aguirregabiria Padilla,Deportivo Alavés,185.95,6.5,6.7,6.3,6.9,6.2,2,2.1,0.03,0.04,0.02,0.03,0.0,6.52,11,42
530,Thibault De Smet,Stade de Reims,93.98,6.5,6.6,6.3,6.9,6.3,1,1.0,0.03,0.04,0.03,0.03,0.0,6.52,7,235
264,Jean-Kevin Duverne,Stade Brestois,91.97,6.5,6.8,6.5,6.6,6.1,1,1.0,0.03,0.04,0.03,0.03,0.0,6.5,7,235
536,Thomas Teye Partey,Atlético Madrid,91.98,6.1,6.5,6.8,6.6,6.5,1,1.0,0.03,0.03,0.02,0.02,0.0,6.5,11,4
358,Manuel Sánchez De La Peña,Osasuna,90.98,6.2,6.4,6.5,7.0,6.4,1,1.0,0.03,0.04,0.03,0.03,0.0,6.5,11,90
349,Lukas Kübler,Freiburg,95.98,6.5,6.8,5.4,7.3,6.5,1,1.1,0.03,0.04,0.03,0.02,0.0,6.5,9,281
64,Antonio Manuel Luna Rodríguez,Levante UD,87.0,6.2,6.8,8.0,5.4,6.1,1,1.0,0.03,0.03,0.02,0.02,0.0,6.5,11,4
283,Jorge Andújar Moreno,Levante UD,111.97,6.3,6.7,6.4,6.5,6.5,2,1.2,0.03,0.03,0.02,0.02,0.0,6.48,11,4
440,Nordi Mukiele Mulere,Paris Saint-Germain,92.98,6.3,7.0,6.9,5.5,6.7,1,1.0,0.03,0.04,0.03,0.03,0.0,6.48,7,235
410,Milad Mohammadi,Iran,145.98,6.9,6.6,6.7,6.1,6.1,2,1.6,0.03,0.03,0.02,0.02,0.0,6.48,43,106
47,Andoni Gorosabel Espinosa,Real Sociedad,93.98,6.0,5.4,8.1,6.2,6.6,1,1.0,0.03,0.04,0.03,0.03,0.0,6.46,11,90
557,Vivaldo Borges dos Santos Neto,Clermont Foot,86.0,6.5,5.5,7.6,5.9,6.8,1,1.0,0.03,0.04,0.03,0.03,0.0,6.46,7,235
539,Timothee Pembele,Paris Saint-Germain,147.0,7.0,6.7,6.8,5.5,6.3,2,1.6,0.03,0.04,0.03,0.03,0.0,6.46,7,235
157,Dídac Vilá Rosselló,Espanyol,94.98,6.3,6.4,6.6,6.4,6.6,1,1.1,0.03,0.03,0.02,0.02,0.0,6.46,11,4
93,Bukayo Saka,England,116.98,6.3,6.7,6.1,6.1,7.1,1,1.3,0.04,0.04,0.03,0.03,0.0,6.46,55,282
150,Diogo José Rosário Gomes Figueiras,Genoa,192.98,6.6,6.3,5.8,7.0,6.5,3,2.1,0.03,0.03,0.02,0.02,0.0,6.44,12,27
215,Gary Naysmith,Everton,119.88,6.2,6.0,5.9,5.9,8.2,2,1.3,0.03,0.03,0.02,0.02,0.0,6.44,2,44
119,Damián Nicolás Suárez Suárez,Getafe,91.98,6.1,6.2,6.5,6.3,7.1,1,1.0,0.03,0.04,0.03,0.03,0.0,6.44,11,90
268,Jesús Navas González,Spain,160.88,6.6,6.8,5.7,5.7,7.4,3,1.8,0.04,0.04,0.03,0.03,0.0,6.44,55,282
63,Antonio Latorre Grueso,Valencia,90.98,6.2,6.7,7.9,6.0,5.4,1,1.0,0.03,0.03,0.02,0.02,0.0,6.44,11,4
562,Warren Zaire Emery,Paris Saint-Germain,161.7,7.1,5.5,7.0,5.5,7.0,4,1.8,0.03,0.04,0.03,0.03,0.0,6.42,7,235
548,Valery Fernández Estrada,Girona,90.98,6.3,6.9,6.4,5.9,6.6,1,1.0,0.03,0.03,0.02,0.02,0.0,6.42,11,4
346,Luis Jan Piers Advíncula Castrillón,Rayo Vallecano,89.0,6.0,6.8,6.4,6.8,6.1,1,1.0,0.03,0.03,0.02,0.02,0.0,6.42,11,4
179,Fabien Centonze,Nantes,93.97,6.4,6.1,7.3,6.4,5.9,1,1.0,0.03,0.04,0.03,0.03,0.0,6.42,7,235
14,Akim Zedadka,Clermont Foot,89.0,6.1,6.6,6.2,6.5,6.6,1,1.0,0.04,0.04,0.03,0.03,0.0,6.4,7,108
327,Leonidas Stergiou,VfB Stuttgart,92.87,6.4,6.3,5.5,7.3,6.5,2,1.0,0.03,0.04,0.03,0.02,0.0,6.4,9,281
229,Gonzalo Ariel Montiel,Argentina,116.92,6.3,6.8,5.5,6.8,6.6,3,1.3,0.03,0.03,0.02,0.02,0.0,6.4,43,106
210,Gabriel Gudmundsson,Lille,91.98,6.2,5.4,7.0,7.0,6.3,1,1.0,0.04,0.04,0.03,0.03,0.0,6.38,7,108
356,Malo Gusto,Lyon,94.98,6.1,6.4,6.2,6.6,6.5,1,1.1,0.04,0.04,0.03,0.03,0.0,6.36,7,108
407,Mikel Balenziaga Oruesagasti,Athletic Club,92.98,6.2,6.1,7.7,6.4,5.4,1,1.0,0.03,0.03,0.02,0.02,0.0,6.36,11,4
431,Nicolas Louis Marcel Cozza,Montpellier,88.0,6.4,6.7,6.1,7.1,5.5,1,1.0,0.03,0.04,0.03,0.03,0.0,6.36,7,235
185,Falaye Sacko,Saint-Étienne,91.98,6.1,6.0,6.7,5.9,7.1,1,1.0,0.04,0.04,0.03,0.03,0.0,6.36,7,108
286,Jorge Pulido Mayoral,Huesca,88.0,6.0,6.8,6.1,6.8,6.0,1,1.0,0.03,0.03,0.02,0.02,0.0,6.34,11,4
342,Lucas René Olaza Catrofe,Celta Vigo,90.98,6.2,6.5,6.6,6.4,6.0,1,1.0,0.03,0.04,0.03,0.03,0.0,6.34,11,90
12,Adrián Marín Gómez,Deportivo Alavés,89.97,5.7,6.5,6.2,6.7,6.6,1,1.0,0.03,0.04,0.02,0.03,0.0,6.34,11,42
87,Borna Barišić,Croatia,119.98,6.6,6.4,5.9,6.1,6.6,1,1.3,0.03,0.03,0.02,0.02,0.0,6.32,43,106
343,Lucas Silva Melo,Eintracht Frankfurt,94.98,6.3,6.4,6.2,6.7,6.0,1,1.1,0.03,0.04,0.03,0.02,0.0,6.32,9,281
497,Sacha Boey,Bayern Munich,79.0,6.3,6.6,5.4,7.5,5.8,1,0.9,0.03,0.04,0.03,0.02,0.0,6.32,9,281
398,Melvin Bard,OGC Nice,92.98,6.3,6.6,5.4,6.5,6.7,1,1.0,0.04,0.04,0.03,0.03,0.0,6.3,7,108
501,Santiago Arias Naranjo,Atlético Madrid,125.98,6.6,6.7,5.4,6.2,6.6,2,1.4,0.03,0.03,0.02,0.02,0.0,6.3,11,4
511,Simon Charlton,Bolton Wanderers,91.98,5.8,6.1,6.3,5.8,7.5,1,1.0,0.03,0.03,0.02,0.02,0.0,6.3,2,44
216,Gary Neville,Manchester United,91.98,5.6,6.2,7.0,6.2,6.5,1,1.0,0.03,0.03,0.02,0.02,0.0,6.3,2,44
483,Reinildo Isnard Mandava,Lille,94.98,6.3,6.0,6.7,6.2,6.3,1,1.1,0.04,0.04,0.03,0.03,0.0,6.3,7,108
20,Alejandro Balde Martínez,Spain,113.97,6.5,6.5,6.2,6.6,5.7,3,1.3,0.03,0.03,0.02,0.02,0.0,6.3,43,106
281,Jordan Stewart,Leicester City,91.98,5.8,5.7,7.8,5.6,6.6,1,1.0,0.03,0.03,0.02,0.02,0.0,6.3,2,44
507,Sergio Escudero Palomo,Sevilla,91.98,6.3,5.9,7.3,6.0,6.0,1,1.0,0.03,0.04,0.03,0.03,0.0,6.3,11,90
265,Jeison Fabián Murillo Cerón,Inter Milan,180.98,6.6,6.8,6.1,6.7,5.2,2,2.0,0.03,0.03,0.02,0.02,0.0,6.28,12,27
201,Flavius Daniliuc,OGC Nice,77.0,6.0,6.4,6.3,6.7,6.0,1,0.9,0.04,0.04,0.03,0.03,0.0,6.28,7,108
465,Pedro Antonio Porro Sauceda,Girona,91.98,6.0,6.1,6.5,6.5,6.3,1,1.0,0.03,0.03,0.02,0.02,0.0,6.28,11,4
542,Timothée Kolodziejczak,Saint-Étienne,91.98,6.3,5.9,6.3,5.8,7.1,1,1.0,0.04,0.04,0.03,0.03,0.0,6.28,7,108
520,Stephen Crainey,Southampton,90.98,5.8,5.8,6.5,6.0,7.3,1,1.0,0.03,0.03,0.02,0.02,0.0,6.28,2,44
112,Cristian Gamboa Luna,Bochum,90.98,6.2,6.1,6.2,6.7,6.1,1,1.0,0.03,0.04,0.03,0.02,0.0,6.26,9,281
37,Ali Albulayhi,Saudi Arabia,133.95,6.7,6.6,6.4,5.7,5.9,2,1.5,0.03,0.03,0.02,0.02,0.0,6.26,43,106
379,Marvin Friedrich,Borussia Mönchengladbach,91.98,6.4,6.5,6.1,6.7,5.6,1,1.0,0.03,0.04,0.03,0.02,0.0,6.26,9,281
148,Dimitri Foulquier,Granada,92.98,5.6,6.4,7.2,6.8,5.3,1,1.0,0.03,0.04,0.02,0.03,0.0,6.26,11,42
567,Youssouf Koné,AC Ajaccio,71.0,6.2,6.6,6.1,6.3,6.0,1,0.8,0.03,0.04,0.03,0.03,0.0,6.24,7,235
464,Paweł Wszołek,Hellas Verona,106.95,5.7,5.7,5.5,6.9,7.4,2,1.2,0.03,0.03,0.02,0.02,0.0,6.24,12,27
425,Neco Williams,Wales,133.98,6.5,6.1,5.7,6.5,6.4,2,1.5,0.03,0.03,0.02,0.02,0.0,6.24,43,106
175,Ervin Zukanović,Sampdoria,169.0,6.7,6.9,4.7,6.4,6.5,4,1.9,0.03,0.03,0.02,0.02,0.0,6.24,12,27
516,Souleyman Doumbia,Angers,94.98,6.5,6.3,6.2,5.6,6.5,1,1.1,0.03,0.04,0.03,0.03,0.0,6.22,7,235
180,Fabio Daprelà,Palermo,132.98,6.2,6.1,6.6,6.2,6.0,3,1.5,0.03,0.03,0.02,0.02,0.0,6.22,12,27
288,Joseph Scally,Borussia Mönchengladbach,90.98,6.4,5.7,6.3,6.1,6.6,1,1.0,0.03,0.04,0.03,0.02,0.0,6.22,9,281
235,Hugo Mallo Novegil,Celta Vigo,92.98,6.0,5.6,6.4,6.2,6.9,1,1.0,0.03,0.04,0.03,0.03,0.0,6.22,11,90
152,Djibril Sidibé,AS Monaco,90.98,6.1,6.0,6.4,6.1,6.5,1,1.0,0.04,0.04,0.03,0.03,0.0,6.22,7,108
581,Óscar de Marcos Arana,Athletic Club,90.98,6.0,6.4,6.3,6.6,5.8,1,1.0,0.03,0.03,0.02,0.02,0.0,6.22,11,4
219,Gennaro Sardo,Chievo,164.97,6.3,6.4,5.4,6.5,6.5,3,1.8,0.03,0.03,0.02,0.02,0.0,6.22,12,27
62,Antonio García Aranda,Levante UD,92.97,5.6,6.0,7.3,6.3,5.8,1,1.0,0.03,0.04,0.02,0.03,0.0,6.2,11,42
362,Marcelo Vieira da Silva Júnior,Real Madrid,91.98,5.7,6.2,6.1,6.0,7.0,1,1.0,0.03,0.04,0.02,0.03,0.0,6.2,11,42
559,Víctor David Díaz Miguel,Granada,90.98,5.4,6.2,7.4,5.9,6.1,1,1.0,0.03,0.04,0.02,0.03,0.0,6.2,11,42
534,Thomas Heurtaux,Udinese,179.97,6.5,7.3,5.4,5.6,6.2,2,2.0,0.03,0.03,0.02,0.02,0.0,6.2,12,27
181,Fabián Ruiz Peña,Paris Saint-Germain,47.98,5.9,6.3,6.3,6.1,6.4,1,0.5,0.03,0.04,0.03,0.03,0.0,6.2,7,235
56,Angelo Smit Preciado Quiñónez,Ecuador,93.97,6.0,6.0,5.9,6.3,6.8,1,1.0,0.03,0.03,0.02,0.02,0.0,6.2,43,106
41,Allan Romeo Nyom,Getafe,91.98,5.5,5.8,8.0,5.9,5.8,1,1.0,0.03,0.04,0.02,0.03,0.0,6.2,11,42
138,Davide Calabria,AC Milan,148.95,6.1,5.4,6.5,5.6,7.3,3,1.7,0.03,0.03,0.02,0.02,0.0,6.18,12,27
17,Alberto Moreno Pérez,Villarreal,94.97,5.7,6.4,6.0,6.3,6.5,1,1.1,0.03,0.04,0.02,0.03,0.0,6.18,11,42
454,Otar Kakabadze,Georgia,94.98,6.0,5.7,7.0,5.9,6.2,1,1.1,0.04,0.04,0.03,0.03,0.0,6.16,55,282
424,Nathaniel Atkinson,Australia,84.0,5.9,6.1,7.3,6.2,5.3,1,0.9,0.03,0.03,0.02,0.02,0.0,6.16,43,106
310,Juan Marcos Foyth,Villarreal,94.98,6.1,6.4,5.4,6.9,6.0,1,1.1,0.03,0.04,0.03,0.03,0.0,6.16,11,90
456,Pablo Ezequiel De Blasis,Eibar,92.98,6.0,6.5,5.4,6.4,6.5,1,1.0,0.03,0.03,0.02,0.02,0.0,6.16,11,4
242,Ignacio Monreal Eraso,Real Sociedad,92.98,5.7,6.4,6.2,6.0,6.4,1,1.0,0.03,0.04,0.02,0.03,0.0,6.14,11,42
28,Alessandro Pistone,Everton,93.98,5.6,5.7,6.1,6.0,7.3,1,1.0,0.03,0.03,0.02,0.02,0.0,6.14,2,44
320,Konrad Laimer,Bayern Munich,83.0,6.3,6.7,6.3,5.5,5.9,1,0.9,0.03,0.04,0.03,0.02,0.0,6.14,9,281
223,Gilberto Moraes Junior,Hellas Verona,129.92,5.9,6.0,6.7,6.2,5.9,3,1.4,0.03,0.03,0.02,0.02,0.0,6.14,12,27
247,Ismaël Chester Diallo,AC Ajaccio,80.8,6.3,6.4,6.2,6.2,5.6,2,0.9,0.03,0.04,0.03,0.03,0.0,6.14,7,235
297,José Ignacio Martínez García,Real Valladolid,92.98,6.3,5.8,6.2,5.8,6.5,1,1.0,0.03,0.03,0.02,0.02,0.0,6.12,11,4
503,Saúl Ñíguez Esclapez,Atlético Madrid,93.98,5.6,5.9,6.3,6.5,6.3,1,1.0,0.03,0.04,0.02,0.03,0.0,6.12,11,42
414,Mohamed Simakan,RB Leipzig,74.0,6.1,6.1,6.1,6.4,5.9,1,0.8,0.03,0.04,0.03,0.02,0.0,6.12,9,281
436,Niels Nkounkou,Eintracht Frankfurt,67.0,6.2,5.9,6.4,6.2,5.9,1,0.7,0.03,0.04,0.03,0.02,0.0,6.12,9,281
13,Aihen Muñoz Capellán,Real Sociedad,92.98,6.3,6.1,6.6,6.0,5.6,1,1.0,0.03,0.03,0.02,0.02,0.0,6.12,11,4
385,Matteo Darmian,Italy,82.97,6.0,6.1,6.9,6.2,5.4,2,0.9,0.04,0.04,0.03,0.03,0.0,6.12,55,282
437,Niklas Süle,Germany,97.98,6.1,6.7,5.2,6.8,5.7,1,1.1,0.03,0.03,0.02,0.02,0.0,6.1,43,106
67,Arial Benabent Mendy,Clermont Foot,90.98,6.3,6.0,6.4,5.4,6.4,1,1.0,0.04,0.04,0.03,0.03,0.0,6.1,7,108
341,Lucas Neill,Blackburn Rovers,91.98,5.8,6.0,6.2,5.9,6.6,1,1.0,0.03,0.03,0.02,0.02,0.0,6.1,2,44
484,René Salomon Olembé-Olembé,Leeds United,90.98,5.8,6.0,5.9,6.0,6.8,1,1.0,0.03,0.03,0.02,0.02,0.0,6.1,2,44
186,Fali Candé,Metz,94.98,6.3,5.4,6.0,5.7,7.1,1,1.1,0.04,0.04,0.03,0.03,0.0,6.1,7,108
543,Tomás Eduardo Rincón Hernández,Genoa,94.95,5.7,6.3,6.6,6.2,5.7,1,1.1,0.03,0.03,0.02,0.02,0.0,6.1,12,27
97,Carlos Mario Carbonero Mancilla,Sampdoria,113.98,5.7,6.3,6.8,6.0,5.7,2,1.3,0.03,0.03,0.02,0.02,0.0,6.1,12,27
470,Philipp Mwene,Austria,107.0,6.3,5.9,5.2,6.1,6.9,2,1.2,0.04,0.04,0.03,0.03,0.0,6.08,55,282
232,Hermann Hreidarsson,Charlton Athletic,90.98,5.9,6.0,6.2,6.1,6.2,1,1.0,0.03,0.03,0.02,0.02,0.0,6.08,2,44
577,Ángel Martín Correa,Atlético Madrid,57.98,5.6,6.4,6.6,6.2,5.6,1,0.6,0.03,0.03,0.02,0.02,0.0,6.08,11,4
296,José Ignacio Fernández Iglesias,Spain,93.98,6.0,6.5,5.7,6.6,5.6,1,1.0,0.04,0.04,0.03,0.03,0.0,6.08,55,282
576,Álvaro Tejero Sacristán,Eibar,85.0,5.3,6.3,5.3,6.7,6.8,1,0.9,0.03,0.04,0.02,0.03,0.0,6.08,11,42
289,Josha Mamadou Karaboue Vagnoman,VfB Stuttgart,81.0,6.2,5.4,7.1,5.5,6.2,1,0.9,0.03,0.04,0.03,0.02,0.0,6.08,9,281
419,Moussa Wagué,Barcelona,92.98,5.5,5.8,6.5,6.5,6.1,1,1.0,0.03,0.04,0.02,0.03,0.0,6.08,11,42
171,Enzo Gianni Tchato Mbiayi,Montpellier,88.98,6.3,6.1,6.3,6.0,5.7,1,1.0,0.03,0.04,0.03,0.03,0.0,6.08,7,235
233,Hiroki Sakai,Japan,72.0,5.8,6.2,6.2,6.0,6.1,1,0.8,0.03,0.03,0.02,0.02,0.0,6.06,43,106
38,Alidu Seidu,Ghana,98.98,6.1,6.5,5.8,6.1,5.8,1,1.1,0.03,0.03,0.02,0.02,0.0,6.06,43,106
313,Kevin Mbabu,Augsburg,92.98,6.3,5.4,6.6,6.4,5.6,1,1.0,0.03,0.04,0.03,0.02,0.0,6.06,9,281
23,Alejandro Pozo Pozo,Mallorca,91.98,5.4,5.8,6.3,6.2,6.6,1,1.0,0.03,0.04,0.02,0.03,0.0,6.06,11,42
315,Kevin Paredes,Wolfsburg,87.0,6.4,5.8,6.3,5.9,5.8,1,1.0,0.03,0.04,0.03,0.02,0.0,6.04,9,281
98,Carlos Martín Vigaray,Deportivo Alavés,89.98,6.0,5.4,6.6,6.3,5.9,1,1.0,0.03,0.03,0.02,0.02,0.0,6.04,11,4
329,Luan Peres Petroni,Marseille,94.98,6.3,6.1,6.2,6.0,5.6,1,1.1,0.04,0.04,0.03,0.03,0.0,6.04,7,108
528,Tariq Lamptey,Ghana,107.97,6.1,5.8,6.6,5.5,6.2,2,1.2,0.03,0.03,0.02,0.02,0.0,6.04,43,106
18,Alberto Rodríguez Baró,Deportivo Alavés,89.0,6.1,6.3,5.4,6.7,5.7,1,1.0,0.03,0.04,0.03,0.03,0.0,6.04,11,90
332,Luca Cigarini,Atalanta,93.98,5.7,5.0,7.3,5.9,6.3,1,1.0,0.03,0.03,0.02,0.02,0.0,6.04,12,27
155,Dylan Daniel Mahmoud Bronn,Metz,93.95,6.1,6.1,6.3,6.3,5.4,1,1.0,0.04,0.04,0.03,0.03,0.0,6.04,7,108
205,Franck Queudrue,Middlesbrough,90.98,5.8,5.6,6.6,5.7,6.5,1,1.0,0.03,0.03,0.02,0.02,0.0,6.04,2,44
449,Oleksandr Tymchyk,Ukraine,109.97,6.1,5.4,6.5,6.0,6.2,2,1.2,0.04,0.04,0.03,0.03,0.0,6.04,55,282
284,Jorge Eduardo Sánchez Ramos,Mexico,85.0,6.0,6.5,5.2,6.5,6.0,1,0.9,0.03,0.03,0.02,0.02,0.0,6.04,43,106
78,Ben Thatcher,Leicester City,91.98,5.9,5.3,6.3,5.6,7.0,1,1.0,0.03,0.03,0.02,0.02,0.0,6.02,2,44
257,Jamie Carragher,Liverpool,91.97,5.6,5.8,6.5,6.0,6.2,1,1.0,0.03,0.03,0.02,0.02,0.0,6.02,2,44
263,Jean-Charles Castelletto,Nantes,64.0,6.0,6.3,5.5,6.4,5.9,1,0.7,0.03,0.04,0.03,0.03,0.0,6.02,7,235
391,Mauricio Taricco,Tottenham Hotspur,96.98,5.9,6.1,5.9,6.2,6.0,1,1.1,0.03,0.03,0.02,0.02,0.0,6.02,2,44
261,Javier López Rodríguez,Espanyol,94.95,6.1,5.4,6.0,6.4,6.2,1,1.1,0.03,0.03,0.02,0.02,0.0,6.02,11,4
26,Alessandro Frara,Frosinone,112.98,5.9,5.3,6.5,6.2,6.1,2,1.3,0.03,0.03,0.02,0.02,0.0,6.0,12,27
238,Ian Harte,Leeds United,86.0,5.7,6.0,6.4,5.8,6.1,1,1.0,0.03,0.03,0.02,0.02,0.0,6.0,2,44
496,Róbert Mazáň,Celta Vigo,91.97,6.3,5.4,6.3,6.0,6.0,1,1.0,0.03,0.03,0.02,0.02,0.0,6.0,11,4
220,Gerson Santos da Silva,Marseille,93.98,6.3,5.4,6.3,5.4,6.6,1,1.0,0.04,0.04,0.03,0.03,0.0,6.0,7,108
524,Sultan Abdullah Salim Al Ghannam,Saudi Arabia,113.97,6.2,5.7,5.2,5.9,7.0,2,1.3,0.03,0.03,0.02,0.02,0.0,6.0,43,106
353,Lutsharel Geertruida,Netherlands,96.98,6.0,6.3,5.9,6.0,5.8,1,1.1,0.04,0.04,0.03,0.03,0.0,6.0,55,282
512,Simon Davies,Tottenham Hotspur,96.98,5.7,5.8,5.9,5.5,7.0,1,1.1,0.03,0.03,0.02,0.02,0.0,5.98,2,44
515,Siniša Anđelković,Palermo,145.98,6.3,5.4,6.3,7.2,4.7,2,1.6,0.03,0.03,0.02,0.02,0.0,5.98,12,27
130,Danny Higginbotham,Southampton,87.0,5.8,5.5,6.8,5.8,6.0,1,1.0,0.03,0.03,0.02,0.02,0.0,5.98,2,44
73,Axel Disasi,France,105.75,6.2,6.1,5.6,6.1,5.9,2,1.2,0.03,0.03,0.02,0.02,0.0,5.98,43,106
207,Frank Mohammed Sinclair,Leicester City,89.98,5.6,5.9,6.7,5.8,5.9,1,1.0,0.03,0.03,0.02,0.02,0.0,5.98,2,44
176,Ethan Ampadu,Wales,92.98,6.1,5.2,6.3,5.9,6.4,1,1.0,0.03,0.03,0.02,0.02,0.0,5.98,43,106
537,Thomas Vermaelen,Barcelona,70.0,5.9,6.6,5.9,6.1,5.4,1,0.8,0.03,0.03,0.02,0.02,0.0,5.98,11,4
374,Markus Babbel,Blackburn Rovers,81.0,5.5,5.6,6.9,5.6,6.3,1,0.9,0.03,0.03,0.02,0.02,0.0,5.98,2,44
547,Valentin Rongier,Marseille,76.0,6.0,6.2,6.0,5.9,5.8,1,0.8,0.04,0.04,0.03,0.03,0.0,5.98,7,108
418,Moussa Diarra,Toulouse,70.0,6.2,5.5,5.5,6.8,5.9,1,0.8,0.03,0.04,0.03,0.03,0.0,5.98,7,235
208,Fábio Pereira da Silva,Nantes,52.0,5.8,6.1,5.9,6.0,6.0,1,0.6,0.04,0.04,0.03,0.03,0.0,5.96,7,108
69,Arnaud Souquet,Montpellier,75.0,5.9,6.1,6.0,5.5,6.3,1,0.8,0.04,0.04,0.03,0.03,0.0,5.96,7,108
475,Przemysław Frankowski,Poland,92.98,6.0,5.6,5.8,6.0,6.4,1,1.0,0.04,0.04,0.03,0.03,0.0,5.96,55,282
396,Maximilian Wöber,Sevilla,57.0,5.7,6.0,6.1,6.0,6.0,1,0.6,0.03,0.03,0.02,0.02,0.0,5.96,11,4
113,Cristian Molinaro,Torino,91.97,5.7,6.2,6.5,6.0,5.4,1,1.0,0.03,0.03,0.02,0.02,0.0,5.96,12,27
429,Nicky Hunt,Bolton Wanderers,89.0,5.6,6.0,5.9,6.0,6.3,1,1.0,0.03,0.03,0.02,0.02,0.0,5.96,2,44
457,Pablo Hervías Ruiz,Real Valladolid,90.98,6.1,5.9,5.4,6.3,6.1,1,1.0,0.03,0.04,0.03,0.03,0.0,5.96,11,90
370,Mario Melchiot,Chelsea,91.98,5.6,6.0,6.0,5.9,6.3,1,1.0,0.03,0.03,0.02,0.02,0.0,5.96,2,44
348,Lukas Klostermann,Germany,79.93,5.8,6.1,5.6,6.4,5.9,2,0.9,0.03,0.03,0.02,0.02,0.0,5.96,43,106
531,Thierry Rendall Correia,Valencia,92.98,6.0,5.4,6.8,5.5,6.1,1,1.0,0.03,0.04,0.03,0.03,0.0,5.96,11,90
535,Thomas Meunier,Belgium,80.0,5.8,6.5,5.7,5.5,6.3,1,0.9,0.03,0.03,0.02,0.02,0.0,5.96,43,106
564,Xavier Quintillà Guasch,Villarreal,92.98,5.6,6.0,6.7,5.6,5.8,1,1.0,0.03,0.04,0.02,0.03,0.0,5.94,11,42
159,Edimilson Fernandes,Switzerland,130.97,6.4,6.2,5.4,5.5,6.2,2,1.5,0.03,0.03,0.02,0.02,0.0,5.94,43,106
304,Joško Gvardiol,Croatia,90.98,6.1,6.4,6.0,5.9,5.3,1,1.0,0.04,0.04,0.03,0.03,0.0,5.94,55,282
162,Ehsan Hajsafi,Iran,71.0,5.9,6.0,5.8,6.0,5.9,1,0.8,0.03,0.03,0.02,0.02,0.0,5.92,43,106
522,Steve Finnan,Liverpool,92.98,5.6,6.0,6.1,6.2,5.7,1,1.0,0.03,0.03,0.02,0.02,0.0,5.92,2,44
191,Federico Mattiello,Chievo,91.98,5.5,5.7,6.0,6.0,6.4,1,1.0,0.03,0.03,0.02,0.02,0.0,5.92,12,27
188,Federico Barba,Real Valladolid,88.0,5.6,5.9,6.3,5.9,5.9,1,1.0,0.03,0.04,0.02,0.03,0.0,5.92,11,42
222,Gideon Mensah,Ghana,86.0,6.1,6.2,5.7,5.8,5.8,1,1.0,0.03,0.03,0.02,0.02,0.0,5.92,43,106
258,Jamie Clapham,Birmingham City,92.98,5.8,6.0,5.8,6.4,5.6,1,1.0,0.03,0.03,0.02,0.02,0.0,5.92,2,44
228,Glen Johnson,Chelsea,89.0,5.6,6.0,5.9,5.9,6.2,1,1.0,0.03,0.03,0.02,0.02,0.0,5.92,2,44
294,José Antonio Rodríguez Díaz,Granada,86.0,6.1,5.4,5.4,5.9,6.8,1,1.0,0.03,0.04,0.03,0.03,0.0,5.92,11,90
316,Kevin Vázquez Comesaña,Celta Vigo,83.98,6.0,5.8,6.3,6.0,5.5,1,0.9,0.03,0.04,0.03,0.03,0.0,5.92,11,90
364,Marco Parolo,Lazio,87.0,5.6,5.4,5.7,5.9,6.9,1,1.0,0.03,0.03,0.02,0.02,0.0,5.9,12,27
526,Sébastien Schemmel,Portsmouth,92.97,5.6,5.7,6.6,5.5,6.1,1,1.0,0.03,0.03,0.02,0.02,0.0,5.9,2,44
405,Miguel Ángel Trauco Saavedra,Saint-Étienne,91.98,6.3,5.4,5.9,5.9,6.0,1,1.0,0.04,0.04,0.03,0.03,0.0,5.9,7,108
566,Yasir Gharsan Al Shahrani,Saudi Arabia,94.98,6.2,5.6,6.0,5.4,6.3,1,1.1,0.03,0.03,0.02,0.02,0.0,5.9,43,106
409,Mikkel Desler,Toulouse,31.98,5.6,5.8,6.6,5.9,5.6,1,0.4,0.03,0.04,0.03,0.03,0.0,5.9,7,235
262,Javier Moyano Lujano,Real Valladolid,93.98,5.4,5.6,6.1,6.2,6.2,1,1.0,0.03,0.04,0.02,0.03,0.0,5.9,11,42
408,Miki Yamane,Japan,57.0,5.6,5.9,5.8,5.8,6.4,1,0.6,0.03,0.03,0.02,0.02,0.0,5.9,43,106
256,Jakub Piotr Kiwior,Poland,92.98,6.1,5.8,5.9,6.1,5.5,1,1.0,0.04,0.04,0.03,0.03,0.0,5.88,55,282
471,Philippe Coutinho Correia,Barcelona,46.98,5.5,6.2,5.4,6.2,6.1,1,0.5,0.03,0.03,0.02,0.02,0.0,5.88,11,4
275,John O''Shea,Manchester United,92.95,5.9,5.4,6.1,5.5,6.5,1,1.0,0.03,0.03,0.02,0.02,0.0,5.88,2,44
416,Mohammed Al Burayk,Saudi Arabia,64.0,5.8,6.1,5.6,5.9,6.0,1,0.7,0.03,0.03,0.02,0.02,0.0,5.88,43,106
572,Yvann Macon,Saint-Étienne,85.0,6.1,5.4,6.2,5.4,6.3,1,0.9,0.04,0.04,0.03,0.03,0.0,5.88,7,108
