,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id
435,Nicușor Silviu Bancu,Romania,268.97,8.2,7.5,6.8,7.7,7.5,3,3.0,0.04,0.04,0.03,0.03,0.0,7.54,55,282
251,Ivan Strinić,Napoli,252.97,7.8,8.1,8.4,7.0,6.4,5,2.8,0.03,0.03,0.02,0.02,0.0,7.54,12,27
234,Houboulang Mendes,Lorient,181.97,6.9,7.8,7.7,7.7,7.6,2,2.0,0.04,0.04,0.03,0.03,0.0,7.54,7,108
274,John Arne Semundseth Riise,Liverpool,183.97,7.2,7.0,8.7,6.2,8.6,2,2.0,0.03,0.03,0.02,0.02,0.0,7.54,2,44
453,Omar Haktab Traorè,FC Heidenheim,185.97,7.3,7.2,7.2,8.2,7.8,2,2.1,0.03,0.04,0.03,0.02,0.0,7.54,9,281
226,Giuseppe Pezzella,Palermo,260.97,7.9,7.3,6.7,8.1,7.7,3,2.9,0.03,0.03,0.02,0.02,0.0,7.54,12,27
22,Alejandro Moreno Lopera,Real Betis,187.97,7.3,7.1,8.0,8.4,6.8,2,2.1,0.03,0.04,0.03,0.03,0.0,7.52,11,90
312,Julian Ryerson,Borussia Dortmund,185.97,7.7,8.2,8.1,6.7,6.9,2,2.1,0.03,0.04,0.03,0.02,0.0,7.52,9,281
373,Marius Wolf,Borussia Dortmund,148.97,6.9,6.8,8.5,7.4,8.0,2,1.7,0.03,0.04,0.03,0.02,0.0,7.52,9,281
88,Borna Sosa,Croatia,252.97,8.2,7.4,7.6,6.9,7.5,3,2.8,0.03,0.03,0.02,0.02,0.0,7.52,43,106
114,Cristian Raimondi,Atalanta,293.9,7.9,7.9,7.5,7.5,6.6,7,3.3,0.03,0.03,0.02,0.02,0.0,7.48,12,27
161,Eduardo Camavinga,France,179.97,7.3,7.9,7.4,8.0,6.8,2,2.0,0.03,0.03,0.02,0.02,0.0,7.48,43,106
75,Bafodé Diakité,Lille,153.0,7.0,8.0,7.5,8.3,6.4,2,1.7,0.03,0.04,0.03,0.03,0.0,7.44,7,235
478,Ramin Rezaeian,Iran,200.97,7.0,7.1,7.9,6.9,8.3,2,2.2,0.03,0.03,0.02,0.02,0.0,7.44,43,106
415,Mohamed Youssouf,AC Ajaccio,176.98,7.3,7.9,7.7,7.5,6.7,2,2.0,0.03,0.04,0.03,0.03,0.0,7.42,7,235
116,Cristiano Piccini,Valencia,178.98,7.2,7.9,8.2,7.4,6.4,2,2.0,0.03,0.03,0.02,0.02,0.0,7.42,11,4
514,Simone Padoin,Juventus,269.97,7.3,7.7,6.7,8.5,6.8,3,3.0,0.03,0.03,0.02,0.02,0.0,7.4,12,27
243,Ignacio Vidal Miralles,Osasuna,178.9,6.8,6.4,8.4,7.4,7.9,2,2.0,0.03,0.04,0.03,0.03,0.0,7.38,11,90
231,Hamari Traoré,Rennes,191.97,7.0,7.1,7.8,7.1,7.9,2,2.1,0.04,0.04,0.03,0.03,0.0,7.38,7,108
77,Ben Davies,Wales,254.97,8.2,7.6,7.0,7.4,6.7,3,2.8,0.03,0.03,0.02,0.02,0.0,7.38,43,106
489,Ridle Bote Baku,Wolfsburg,182.98,7.3,6.6,8.1,6.3,8.6,2,2.0,0.03,0.04,0.03,0.02,0.0,7.38,9,281
555,Vincent Le Goff,Lorient,180.9,7.2,6.6,8.5,7.0,7.4,2,2.0,0.04,0.04,0.03,0.03,0.0,7.34,7,108
371,Mario Mitaj,Albania,285.95,8.3,8.2,7.0,7.0,6.1,3,3.2,0.04,0.04,0.03,0.03,0.0,7.32,55,282
386,Matthias Bader,Darmstadt 98,186.97,7.4,6.6,8.1,7.0,7.3,2,2.1,0.03,0.04,0.03,0.02,0.0,7.28,9,281
450,Oleksandr Zinchenko,Ukraine,183.95,7.3,6.9,8.0,6.9,7.2,2,2.0,0.04,0.04,0.03,0.03,0.0,7.26,55,282
298,José Luis Gayà Peña,Valencia,166.0,7.0,6.1,8.2,7.2,7.6,2,1.8,0.03,0.04,0.03,0.03,0.0,7.22,11,90
480,Rasmus Carstensen,FC Köln,180.93,7.3,6.1,7.4,8.0,7.2,2,2.0,0.03,0.04,0.03,0.02,0.0,7.2,9,281
32,Alex Sandro Lobo Silva,Brazil,195.95,7.4,7.7,6.7,7.5,6.7,3,2.2,0.03,0.03,0.02,0.02,0.0,7.2,43,106
400,Michael Tarnat,Manchester City,188.97,7.2,6.4,7.3,6.3,8.7,2,2.1,0.03,0.03,0.02,0.02,0.0,7.18,2,44
165,Emerson Aparecido Leite de Souza Junior,Real Betis,186.95,6.9,6.6,8.1,7.5,6.8,2,2.1,0.03,0.04,0.03,0.03,0.0,7.18,11,90
170,Emir Karic,Darmstadt 98,158.97,7.3,7.1,7.4,7.4,6.7,2,1.8,0.03,0.04,0.03,0.02,0.0,7.18,9,281
46,Ander Capa Rodríguez,Athletic Club,174.97,6.8,6.9,8.0,7.9,6.3,2,1.9,0.03,0.04,0.03,0.03,0.0,7.18,11,90
214,Gary Alexis Medel Soto,Inter Milan,189.95,6.8,7.5,7.7,7.6,6.0,2,2.1,0.03,0.03,0.02,0.02,0.0,7.12,12,27
276,Jonas Föhrenbach,FC Heidenheim,190.95,7.8,6.5,6.8,6.8,7.5,2,2.1,0.03,0.04,0.03,0.02,0.0,7.08,9,281
245,Ismail Jakobs,Senegal,192.82,7.4,6.5,7.1,6.8,7.5,3,2.1,0.03,0.03,0.02,0.02,0.0,7.06,43,106
285,Jorge Miramón Santagertrudis,Levante UD,178.97,6.4,7.3,8.7,6.7,6.2,2,2.0,0.03,0.04,0.02,0.03,0.0,7.06,11,42
326,Lee Naylor,Wolverhampton Wanderers,180.98,7.0,6.5,7.2,6.3,8.3,2,2.0,0.03,0.03,0.02,0.02,0.0,7.06,2,44
225,Giovanni Pasquale,Udinese,177.63,6.9,6.1,7.4,6.5,8.1,4,2.0,0.03,0.03,0.02,0.02,0.0,7.0,12,27
541,Timothy Weah,Lille,96.98,6.5,6.5,7.7,6.7,7.6,1,1.1,0.03,0.04,0.03,0.03,0.0,7.0,7,235
382,Mathías Olivera Miramontes,Uruguay,182.98,7.3,7.4,6.5,6.2,7.6,2,2.0,0.03,0.03,0.02,0.02,0.0,7.0,43,106
196,Ferland Mendy,Real Madrid,186.95,7.3,7.3,7.1,6.4,6.9,2,2.1,0.03,0.04,0.03,0.03,0.0,7.0,11,90
287,Joseba Zaldúa Bengoetxea,Real Sociedad,183.93,7.3,6.3,7.1,8.1,6.2,2,2.0,0.03,0.03,0.02,0.02,0.0,7.0,11,4
