player,team,season_id,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,cluster_profile,relative_finishing_quality,relative_chance_creation,relative_ball_progression,relative_one_v_one,relative_off_ball_movement,relative_defensive_contribution
Paul Pogba,Juventus,27,7.0,4.19,5.64,7.0,7.0,8.31,Traditional Winger,0.47666666666666657,-2.333333333333333,-0.8833333333333337,0.47666666666666657,0.47666666666666657,1.786666666666667
Paul-José M''Poku Ebunge,Chievo,27,7.0,4.7,5.03,7.0,7.0,7.65,Traditional Winger,0.6033333333333326,-1.6966666666666672,-1.3666666666666671,0.6033333333333326,0.6033333333333326,1.253333333333333
Paweł Wszołek,Hellas Verona,27,7.0,4.14,5.15,7.0,7.0,7.2,Traditional Winger,0.751666666666666,-2.1083333333333343,-1.0983333333333336,0.751666666666666,0.751666666666666,0.9516666666666662
Pedro González López,Barcelona,90,7.0,4.73,4.88,7.0,7.0,7.5,Traditional Winger,0.6483333333333334,-1.6216666666666661,-1.4716666666666667,0.6483333333333334,0.6483333333333334,1.1483333333333334
Pedro Lomba Neto,Portugal,282,7.0,4.0,5.16,7.0,7.0,7.0,Traditional Winger,0.8066666666666675,-2.1933333333333325,-1.0333333333333323,0.8066666666666675,0.8066666666666675,0.8066666666666675
Pere Milla Peña,Elche,90,7.0,4.0,5.01,7.0,7.0,8.23,Traditional Winger,0.6266666666666678,-2.373333333333332,-1.3633333333333324,0.6266666666666678,0.6266666666666678,1.8566666666666682
Phil Foden,England,282,7.0,4.04,4.56,7.0,7.0,7.25,Traditional Winger,0.8583333333333343,-2.1016666666666657,-1.581666666666666,0.8583333333333343,0.8583333333333343,1.1083333333333343
Philip Foden,England,106,7.0,4.12,4.56,7.0,7.0,7.0,Traditional Winger,0.8866666666666667,-1.9933333333333332,-1.5533333333333337,0.8866666666666667,0.8866666666666667,0.8866666666666667
Philippe Coutinho Correia,Barcelona,4,7.0,4.25,4.76,7.0,7.0,7.2,Traditional Winger,0.7983333333333329,-1.951666666666667,-1.4416666666666673,0.7983333333333329,0.7983333333333329,0.9983333333333331
Pierre Lees Melou,Stade Brestois,235,7.0,4.14,5.13,7.0,7.0,7.87,Traditional Winger,0.6433333333333335,-2.216666666666667,-1.2266666666666666,0.6433333333333335,0.6433333333333335,1.5133333333333336
Pione Sisto Ifolo Emirmija,Celta Vigo,4,7.0,4.36,4.99,7.0,7.0,7.0,Traditional Winger,0.7749999999999995,-1.8650000000000002,-1.2350000000000003,0.7749999999999995,0.7749999999999995,0.7749999999999995
Pol Mikel Lirola Kosok,Marseille,108,7.0,4.1,4.71,7.0,7.0,7.88,Traditional Winger,0.7183333333333337,-2.1816666666666666,-1.5716666666666663,0.7183333333333337,0.7183333333333337,1.5983333333333336
Przemysław Frankowski,Lens,108,7.0,4.0,4.52,7.0,7.0,7.99,Traditional Winger,0.748333333333334,-2.251666666666666,-1.7316666666666665,0.748333333333334,0.748333333333334,1.7383333333333342
Radja Nainggolan,AS Roma,27,7.0,4.0,4.54,7.0,7.0,7.0,Traditional Winger,0.9100000000000001,-2.09,-1.5499999999999998,0.9100000000000001,0.9100000000000001,0.9100000000000001
Rafael Rogério da Silva,Toulouse,235,7.0,4.22,5.45,7.0,7.0,8.05,Traditional Winger,0.5466666666666669,-2.2333333333333334,-1.003333333333333,0.5466666666666669,0.5466666666666669,1.5966666666666676
Raheem Sterling,England,106,7.0,4.2,4.71,7.0,7.0,7.0,Traditional Winger,0.8483333333333336,-1.9516666666666662,-1.4416666666666664,0.8483333333333336,0.8483333333333336,0.8483333333333336
Randal Kolo Muani,France,106,7.0,4.47,4.96,7.0,7.0,7.57,Traditional Winger,0.666666666666667,-1.8633333333333333,-1.373333333333333,0.666666666666667,0.666666666666667,1.2366666666666672
