midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Mikel San José Domínguez,62,1.77,6.23,9.19,7.25,2,Athletic Club,11,4,31.0,0.7,6.109999999999999
Răzvan Gabriel Marin,359,9.41,3.13,5.88,6.01,4,Romania,55,282,89.8,4.0,6.1075
Jakub Kamiński,245,2.38,7.87,5.92,8.22,4,Poland,43,106,61.2,2.7,6.0975
Danilo Luís Hélio Pereira,1423,9.86,4.43,5.94,4.15,18,Paris Saint-Germain,7,108,79.1,15.8,6.095000000000001
Danny Murphy,6,8.43,8.8,5.07,2.07,1,Liverpool,2,44,6.0,0.1,6.0925
Luigi Giorgi,16,7.97,3.35,4.54,8.46,1,Atalanta,12,27,16.0,0.2,6.08
Jeremy Doku,92,1.95,9.68,4.72,7.95,1,Belgium,55,282,92.0,1.0,6.074999999999999
Georginio Wijnaldum,906,8.92,2.94,6.69,5.74,19,Paris Saint-Germain,7,108,47.7,10.1,6.0725
Alejandro Baena Rodríguez,23,2.81,9.23,2.5,9.73,1,Spain,55,282,23.0,0.3,6.067500000000001
Arne Maier,123,4.28,7.01,8.73,4.25,2,Augsburg,9,281,61.5,1.4,6.0675
Jorge Resurrección Merodio,184,6.54,2.01,9.42,6.3,2,Atlético Madrid,11,90,92.0,2.0,6.0675
Jordan Ferri,120,7.21,5.46,9.53,2.07,2,Montpellier,7,235,60.0,1.3,6.0675
Jérémy Ménez,224,7.15,6.79,2.56,7.75,6,AC Milan,12,27,37.3,2.5,6.0625
Brecht Dejaegere,93,4.84,7.35,2.84,9.21,2,Toulouse,7,235,46.5,1.0,6.0600000000000005
Haris Seferović,37,5.9,7.94,0.52,9.85,1,Switzerland,43,106,37.0,0.4,6.0525
Théo Sainte-Luce,83,8.07,5.52,8.55,2.07,1,Montpellier,7,235,83.0,0.9,6.0525
Simone Padoin,274,9.7,4.86,1.73,7.91,4,Juventus,12,27,68.5,3.0,6.05
Diogo José Teixeira da Silva,63,1.49,6.58,6.68,9.44,2,Portugal,55,282,31.5,0.7,6.047499999999999
Baptiste Santamaría,108,5.53,1.94,6.77,9.94,2,Rennes,7,108,54.0,1.2,6.045
