midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Jorge Miramón Santagertrudis,89,5.65,7.8,7.77,6.24,1,Huesca,11,4,89.0,1.0,6.865
Nicola Rigoni,1993,8.68,6.28,7.96,4.51,28,Chievo,12,27,71.2,22.1,6.8575
Mert Kömür,73,7.92,8.61,8.83,2.07,1,Augsburg,9,281,73.0,0.8,6.8575
Seko Fofana,181,7.24,6.28,6.9,7.0,2,Lens,7,108,90.5,2.0,6.855
Angelo Fulgini,44,3.87,5.58,9.12,8.84,1,Lens,7,235,44.0,0.5,6.8525
Yusuf Yazıcı,56,5.36,7.58,4.78,9.68,1,Lille,7,235,56.0,0.6,6.8500000000000005
Rominigue Kouamé N''Guessan,88,7.78,4.17,9.98,5.47,1,Troyes,7,108,88.0,1.0,6.85
Mario Lemina,727,9.57,5.92,7.39,4.52,10,Juventus,12,27,72.7,8.1,6.85
Panagiotis Tachtsidis,833,6.82,8.45,6.66,5.45,22,Genoa,12,27,37.9,9.3,6.845
Kai Havertz,278,4.92,8.58,8.81,5.06,3,Germany,55,282,92.7,3.1,6.8425
Mirko Valdifiori,459,9.44,2.51,7.7,7.72,6,Napoli,12,27,76.5,5.1,6.842499999999999
Christian Dannemann Eriksen,287,9.39,5.85,3.53,8.57,3,Denmark,43,106,95.7,3.2,6.835
Selim Amallah,410,8.09,5.33,6.62,7.28,7,Morocco,43,106,58.6,4.6,6.83
Exequiel Alejandro Palacios,1863,9.87,2.82,9.15,5.44,24,Bayer Leverkusen,9,281,77.6,20.7,6.82
Dango Aboubacar Faissal Ouattara,166,3.63,9.73,7.59,6.33,2,Lorient,7,108,83.0,1.8,6.82
Pierre-Emile Højbjerg,362,9.73,4.61,7.88,5.04,4,Denmark,55,282,90.5,4.0,6.8149999999999995
Raffaele Maiello,488,9.25,5.78,5.61,6.59,12,Empoli,12,27,40.7,5.4,6.8075
Cristian Raimondi,237,5.0,8.47,5.57,8.18,6,Atalanta,12,27,39.5,2.6,6.805
David Junior Hoilett,164,4.45,7.79,5.54,9.44,3,Canada,43,106,54.7,1.8,6.805
Nathaniel Chalobah,37,2.36,8.6,6.48,9.77,5,Napoli,12,27,7.4,0.4,6.802499999999999
Jakub Piotrowski,56,5.66,7.7,4.76,9.06,2,Poland,55,282,28.0,0.6,6.795
Luis Alberto Suárez Díaz,92,3.8,5.94,9.62,7.81,1,Barcelona,11,42,92.0,1.0,6.7924999999999995
Amadou Diawara,2789,9.27,4.45,8.12,5.33,34,Bologna,12,27,82.0,31.0,6.792499999999999
Sami Khedira,1529,9.29,5.37,7.46,5.04,20,Juventus,12,27,76.4,17.0,6.79
Justin Kluivert,157,3.72,8.96,9.49,4.98,2,OGC Nice,7,108,78.5,1.7,6.7875000000000005
Tijjani Reijnders,501,9.94,7.85,3.87,5.48,6,Netherlands,55,282,83.5,5.6,6.785
Salis Abdul Samed,258,9.83,4.35,8.59,4.37,3,Ghana,43,106,86.0,2.9,6.785
Nemanja Radoja,93,7.35,4.23,9.44,6.11,1,Levante UD,11,42,93.0,1.0,6.7825
Karim Laribi,465,7.62,5.63,5.52,8.33,9,Sassuolo,12,27,51.7,5.2,6.775
Konrad Laimer,277,9.38,8.05,4.36,5.31,4,Austria,55,282,69.2,3.1,6.7749999999999995
Paulo Bruno Exequiel Dybala,182,3.76,6.65,7.87,8.81,3,Juventus,12,27,60.7,2.0,6.772500000000001
Ogenyi Eddy Onazi,1201,9.12,3.7,8.46,5.81,15,Lazio,12,27,80.1,13.3,6.7725
Ellyes Joris Skhiri,284,9.47,5.35,6.42,5.83,3,Tunisia,43,106,94.7,3.2,6.7675
Patrick Vieira,2557,9.36,4.06,7.74,5.9,29,Arsenal,2,44,88.2,28.4,6.764999999999999
Timothy Weah,81,4.09,8.46,8.65,5.78,2,Lille,7,108,40.5,0.9,6.745000000000001
Joel Chukwuma Obi,487,5.62,8.16,5.16,8.01,10,Torino,12,27,48.7,5.4,6.737500000000001
Khvicha Kvaratskhelia,96,4.51,9.51,3.32,9.61,1,Georgia,55,282,96.0,1.1,6.7375
Claude Makélélé,183,6.57,4.09,9.17,7.07,2,Chelsea,2,44,91.5,2.0,6.725
Heung-Min Son,188,3.99,7.03,7.24,8.62,2,South Korea,43,106,94.0,2.1,6.719999999999999
Francesco Totti,212,4.43,6.09,7.85,8.51,6,AS Roma,12,27,35.3,2.4,6.719999999999999
Sofiane Boufal,142,7.53,8.26,8.97,2.07,2,Morocco,43,106,71.0,1.6,6.7075
Enzo Fernandez,590,9.73,5.57,6.38,5.14,7,Argentina,43,106,84.3,6.6,6.705
Paul Edgar Akouokou,74,5.01,6.67,7.87,7.25,1,Real Betis,11,90,74.0,0.8,6.7
Thorgan Hazard,32,8.43,6.42,2.07,9.88,1,Belgium,43,106,32.0,0.4,6.699999999999999
Aaron Mooy,374,8.99,5.07,8.44,4.24,4,Australia,43,106,93.5,4.2,6.6850000000000005
Ray Parlour,1487,8.83,5.63,6.01,6.27,23,Arsenal,2,44,64.7,16.5,6.685
Axel Witsel,278,9.99,5.39,6.9,4.45,3,Belgium,43,106,92.7,3.1,6.6825
Lorenzo Crisetig,360,9.21,7.28,5.73,4.47,5,Bologna,12,27,72.0,4.0,6.6725
Idrissa Gana Gueye,1360,9.98,4.15,8.08,4.48,20,Paris Saint-Germain,7,108,68.0,15.1,6.6725
Otávio Edmilson da Silva Monteiro,195,5.7,4.91,9.31,6.75,3,Portugal,43,106,65.0,2.2,6.6675
Hakan Çalhanoğlu,361,9.68,4.33,7.2,5.46,4,Turkey,55,282,90.2,4.0,6.6675
Fabián Ruiz Peña,1594,9.74,3.78,8.38,4.77,23,Paris Saint-Germain,7,235,69.3,17.7,6.6674999999999995
Craig Goodwin,233,3.62,4.44,9.37,9.21,4,Australia,43,106,58.2,2.6,6.66
Ibrahima Sissoko,74,5.56,5.89,9.4,5.78,1,Strasbourg,7,235,74.0,0.8,6.657500000000001
Ole Gunnar Solskjær,18,2.81,8.8,5.13,9.88,1,Manchester United,2,44,18.0,0.2,6.655000000000001
Claudio Marchisio,1963,9.69,3.76,7.77,5.37,23,Juventus,12,27,85.3,21.8,6.6475
Marten de Roon,3141,8.85,3.4,9.25,5.07,36,Atalanta,12,27,87.2,34.9,6.6425
Alberto Grassi,975,8.88,5.99,4.87,6.83,13,Atalanta,12,27,75.0,10.8,6.6425
Noah Weißhaupt,14,2.23,9.23,5.25,9.85,1,Freiburg,9,281,14.0,0.2,6.640000000000001
Mauro Matías Zárate,359,7.75,9.71,4.11,4.96,7,Fiorentina,12,27,51.3,4.0,6.6325
Qazim Laçi,140,4.02,4.56,9.07,8.85,2,Albania,55,282,70.0,1.6,6.625
Jorge Luiz Frello Filho,2957,9.4,3.06,7.9,6.13,35,Napoli,12,27,84.5,32.9,6.6225
Gilbert Gianelli Imbula Wanga,88,6.6,7.51,4.22,8.16,1,Rayo Vallecano,11,4,88.0,1.0,6.6225
Luka Sučić,79,7.78,8.25,2.87,7.58,2,Croatia,55,282,39.5,0.9,6.620000000000001
Dietmar Hamann,92,6.85,5.26,7.94,6.41,1,Liverpool,2,44,92.0,1.0,6.615
Phil Foden,464,8.94,4.67,7.42,5.41,5,England,55,282,92.8,5.2,6.61
Granit Xhaka,2862,9.95,4.63,6.56,5.3,33,Bayer Leverkusen,9,281,86.7,31.8,6.609999999999999
Alessandro Frara,1166,6.84,8.2,6.22,5.17,20,Frosinone,12,27,58.3,13.0,6.6075
Riccardo Montolivo,2729,9.31,5.04,7.24,4.83,31,AC Milan,12,27,88.0,30.3,6.605
Nasser Al Dawsari,12,8.43,5.73,2.63,9.61,1,Saudi Arabia,43,106,12.0,0.1,6.6
Dennis Man,271,5.58,7.23,5.2,8.38,4,Romania,55,282,67.8,3.0,6.5975
Bryan Gil Salvatierra,10,5.9,9.88,8.5,2.07,1,Leganés,11,42,10.0,0.1,6.5875
Milan Badelj,2141,9.52,4.13,6.32,6.37,27,Fiorentina,12,27,79.3,23.8,6.585
Francesco Magnanelli,3141,9.42,3.14,8.47,5.3,34,Sassuolo,12,27,92.4,34.9,6.5825000000000005
Riccardo Meggiorini,391,4.06,9.05,3.8,9.41,5,Chievo,12,27,78.2,4.3,6.58
Toni Kroos,485,9.71,3.02,5.89,7.69,5,Germany,55,282,97.0,5.4,6.577500000000001
Andrea Belotti,183,6.21,8.06,9.95,2.07,2,Torino,12,27,91.5,2.0,6.5725
Éver Maximiliano David Banega,182,6.32,4.15,8.96,6.84,2,Sevilla,11,4,91.0,2.0,6.5675
Linton Maina,80,8.43,6.76,1.46,9.61,1,FC Köln,9,281,80.0,0.9,6.5649999999999995
Esteban Félix Granero Molina,114,6.77,5.15,8.67,5.67,2,Espanyol,11,4,57.0,1.3,6.5649999999999995
Dennis Geiger,17,5.9,7.13,3.32,9.9,1,Hoffenheim,9,281,17.0,0.2,6.5625
Brenden Aaronson,129,4.24,6.16,6.85,9.0,4,United States,43,106,32.2,1.4,6.5625
Branco van den Boomen,167,6.03,3.46,8.62,8.14,2,Toulouse,7,235,83.5,1.9,6.5625
Giampiero Pinzi,995,8.65,5.39,7.9,4.28,18,Chievo,12,27,55.3,11.1,6.555
Youssouf Fofana,228,7.54,5.91,8.56,4.19,6,France,43,106,38.0,2.5,6.55
Ivan Rakitić,2490,9.77,4.71,7.29,4.43,32,Barcelona,11,4,77.8,27.7,6.55
Darren Fletcher,70,2.31,6.1,9.74,8.04,1,Manchester United,2,44,70.0,0.8,6.547499999999999
Rodrigo Hernández Cascante,532,9.99,4.72,5.8,5.64,6,Spain,55,282,88.7,5.9,6.5375000000000005
Raphael Dias Belloli,214,7.52,6.95,3.69,7.99,3,Brazil,43,106,71.3,2.4,6.5375
Marco Parolo,2609,8.82,3.91,6.22,7.18,31,Lazio,12,27,84.2,29.0,6.5325
Giovani Lo Celso,84,3.47,8.95,4.1,9.54,1,Real Betis,11,4,84.0,0.9,6.515
Marcel Sabitzer,288,7.27,5.8,3.66,9.29,3,Austria,55,282,96.0,3.2,6.505
Pape Cheikh Diop Gueye,77,8.43,5.26,4.63,7.66,1,Celta Vigo,11,42,77.0,0.9,6.495
Adam Gnezda Čerin,390,8.78,5.45,6.33,5.35,4,Slovenia,55,282,97.5,4.3,6.477500000000001
Kevin Kilbane,66,3.28,8.23,7.85,6.53,1,Everton,2,44,66.0,0.7,6.4725
Mario Suárez Mata,466,9.94,5.13,6.67,4.14,9,Fiorentina,12,27,51.8,5.2,6.470000000000001
Danylo Ignatenko,25,6.92,0.85,9.84,8.26,1,Bordeaux,7,108,25.0,0.3,6.467499999999999
Andrea Poli,583,7.59,3.02,6.03,9.22,17,AC Milan,12,27,34.3,6.5,6.465
Ivaylo Chochev,1758,7.25,6.34,7.48,4.79,25,Palermo,12,27,70.3,19.5,6.465
Luiz Adriano de Souza da Silva,255,7.66,3.1,5.57,9.52,8,AC Milan,12,27,31.9,2.8,6.4624999999999995
Woo-Young Jung,319,9.77,3.15,8.16,4.76,4,South Korea,43,106,79.8,3.5,6.459999999999999
Zdravko Kuzmanović,1136,9.01,4.21,6.63,5.98,16,Udinese,12,27,71.0,12.6,6.4575
Nampalys Mendy,285,9.86,6.56,5.11,4.26,4,Senegal,43,106,71.2,3.2,6.4475
Carles Aleña Castillo,482,9.51,5.38,5.59,5.29,15,Barcelona,11,4,32.1,5.4,6.4425
Kylian Mbappé Lottin,92,7.92,8.18,1.11,8.55,1,Paris Saint-Germain,7,108,92.0,1.0,6.44
Rasmus Carstensen,89,4.67,7.45,4.3,9.33,1,FC Köln,9,281,89.0,1.0,6.4375
Gregoire Defrel,265,5.28,9.18,1.3,9.99,4,Sassuolo,12,27,66.2,2.9,6.4375
Cristian Tello Herrera,110,3.34,8.64,5.0,8.76,2,Fiorentina,12,27,55.0,1.2,6.4350000000000005
Miguel Alfonso Herrero Javaloyas,93,6.45,4.62,9.71,4.94,1,Real Valladolid,11,4,93.0,1.0,6.430000000000001
Declan Rice,691,9.79,4.29,7.11,4.52,7,England,55,282,98.7,7.7,6.427499999999999
Tyler Adams,381,9.95,4.98,6.42,4.35,4,United States,43,106,95.2,4.2,6.425000000000001
Marco Borriello,18,4.09,9.38,2.75,9.47,1,Atalanta,12,27,18.0,0.2,6.422499999999999
Nanitamo Jonathan Ikoné,79,5.71,8.08,3.05,8.84,1,Lille,7,108,79.0,0.9,6.42
Pierre Kunde Malong,132,5.02,6.26,9.01,5.39,2,Cameroon,43,106,66.0,1.5,6.42
Borja García Freire,46,6.14,2.44,9.57,7.52,1,Girona,11,4,46.0,0.5,6.4174999999999995
Renato Júnior Luz Sanches,679,9.44,6.16,5.67,4.39,20,Paris Saint-Germain,7,235,34.0,7.5,6.415
Sergio Canales Madrazo,95,4.9,8.44,3.29,9.03,2,Real Betis,11,90,47.5,1.1,6.414999999999999
Aaron Lennon,31,2.27,9.38,5.07,8.94,1,Leeds United,2,44,31.0,0.3,6.414999999999999
Matteo Brighi,1496,8.03,3.59,6.02,7.99,23,Bologna,12,27,65.0,16.6,6.407500000000001
Boubacar Traore,55,7.69,0.85,9.0,8.09,1,Metz,7,108,55.0,0.6,6.4075
Antoine Griezmann,705,9.13,2.76,6.26,7.48,10,Barcelona,11,90,70.5,7.8,6.4075
Steve Stone,178,3.27,7.32,6.16,8.84,2,Portsmouth,2,44,89.0,2.0,6.3975
Lucas Gourna-Douath,86,7.44,9.19,6.89,2.07,2,Saint-Étienne,7,108,43.0,1.0,6.3975
Teun Koopmeiners,234,7.56,2.73,7.27,8.01,5,Netherlands,43,106,46.8,2.6,6.3925
Mato Jajalo,2053,8.98,4.96,5.7,5.91,27,Palermo,12,27,76.0,22.8,6.3875
David López Silva,756,8.66,4.75,6.79,5.35,25,Napoli,12,27,30.2,8.4,6.387499999999999
Jerdy Schouten,515,9.9,2.76,8.17,4.71,6,Netherlands,55,282,85.8,5.7,6.385
Alberto Facundo Costa,1223,9.04,3.91,6.48,6.08,19,Genoa,12,27,64.4,13.6,6.3774999999999995
Isaac Cofie,2181,8.2,3.67,8.39,5.24,29,Carpi,12,27,75.2,24.2,6.375
Sergio Busquets i Burgos,2578,9.84,3.07,7.66,4.86,33,Barcelona,11,4,78.1,28.6,6.3575
Godfred Donsah,1331,6.97,7.81,5.63,5.02,20,Bologna,12,27,66.6,14.8,6.3575
Aimen Moueffek,25,7.44,8.56,0.52,8.91,1,Saint-Étienne,7,108,25.0,0.3,6.3575
Pierre Lees Melou,93,6.92,6.1,5.06,7.34,1,Stade Brestois,7,235,93.0,1.0,6.3549999999999995
Jean-Ricner Bellegarde,94,4.23,8.69,3.78,8.71,1,Strasbourg,7,108,94.0,1.0,6.3525
Steve Watson,92,1.04,8.13,7.05,9.16,1,Everton,2,44,92.0,1.0,6.345000000000001
Dominik Szoboszlai,285,8.81,4.32,4.16,8.07,3,Hungary,55,282,95.0,3.2,6.34
Gaetano Letizia,289,6.55,8.67,5.02,5.12,4,Carpi,12,27,72.2,3.2,6.34
Brajan Gruda,62,3.59,9.79,4.14,7.81,1,FSV Mainz 05,9,281,62.0,0.7,6.3325
Thomas Monconduit,176,6.07,3.63,7.29,8.32,2,Lorient,7,108,88.0,2.0,6.3275
Graeme Le Saux,81,2.22,5.94,7.71,9.43,1,Southampton,2,44,81.0,0.9,6.325
Nikola Dovedan,107,3.46,7.42,7.23,7.17,2,FC Heidenheim,9,281,53.5,1.2,6.32
Dimitri Foulquier,130,2.06,7.0,8.97,7.25,2,Getafe,11,4,65.0,1.4,6.32
Mihailo Ristić,91,4.12,9.14,9.94,2.07,1,Montpellier,7,108,91.0,1.0,6.317500000000001
Samuel Chimerenka Chukwueze,159,4.42,8.14,3.12,9.57,2,Villarreal,11,90,79.5,1.8,6.3125
Marius Mihai Marin,303,9.24,5.48,5.85,4.67,4,Romania,55,282,75.8,3.4,6.3100000000000005
Kevin Kampl,48,4.61,4.39,9.13,7.11,2,RB Leipzig,9,281,24.0,0.5,6.3100000000000005
Mitchell van Bergen,24,1.62,9.88,3.83,9.9,1,Stade de Reims,7,108,24.0,0.3,6.3075
Mickaël Malsa,119,6.28,1.92,9.16,7.85,2,Levante UD,11,90,59.5,1.3,6.3025
Quincy Anton Promes,87,6.12,6.55,4.07,8.46,1,Sevilla,11,4,87.0,1.0,6.300000000000001
David Pereira da Costa,72,5.63,7.94,1.81,9.82,1,Lens,7,108,72.0,0.8,6.300000000000001
Hidemasa Morita,289,8.84,5.85,4.6,5.88,3,Japan,43,106,96.3,3.2,6.2924999999999995
David Dunn,167,5.2,5.16,7.67,7.13,2,Birmingham City,2,44,83.5,1.9,6.29
Amadou Onana,368,9.84,4.85,6.27,4.2,4,Belgium,55,282,92.0,4.1,6.29
Rocco Reitz,53,5.31,6.26,7.26,6.33,2,Borussia Mönchengladbach,9,281,26.5,0.6,6.289999999999999
Robert Andrich,1440,8.87,5.12,6.29,4.87,25,Bayer Leverkusen,9,281,57.6,16.0,6.2875
Ondrej Duda,323,9.16,3.78,5.76,6.44,4,Slovakia,55,282,80.8,3.6,6.285
Renato Fabrizio Tapia Cortijo,74,6.26,7.76,9.03,2.07,1,Celta Vigo,11,90,74.0,0.8,6.279999999999999
Giovanni Marchese,31,4.82,8.41,9.81,2.07,1,Genoa,12,27,31.0,0.3,6.2775
Nicolas Pépé,90,5.53,3.19,7.62,8.76,1,OGC Nice,7,235,90.0,1.0,6.275
Carlos Henrique Casimiro,406,9.35,2.67,7.34,5.72,4,Brazil,43,106,101.5,4.5,6.27
Raffaele Bianco,1889,8.72,3.93,6.6,5.83,26,Carpi,12,27,72.7,21.0,6.27
Alejandro Gallar Falguera,64,2.17,5.01,9.61,8.26,1,Huesca,11,4,64.0,0.7,6.262499999999999
Nenad Krstičić,549,8.94,2.25,8.94,4.91,10,Sampdoria,12,27,54.9,6.1,6.26
Enzo Le Fée,178,4.35,7.38,6.98,6.33,2,Lorient,7,108,89.0,2.0,6.26
Umut Tohumcu,71,8.43,5.94,8.58,2.07,1,Hoffenheim,9,281,71.0,0.8,6.255000000000001
Jorge De Frutos Sebastián,175,3.31,7.86,6.94,6.89,2,Levante UD,11,90,87.5,1.9,6.25
Cristian Daniel Ansaldi,118,3.26,9.32,6.86,5.53,2,Genoa,12,27,59.0,1.3,6.242500000000001
Jackson Irvine,363,8.27,5.97,5.82,4.91,4,Australia,43,106,90.8,4.0,6.2425
Gabriel Teodoro Martinelli Silva,21,5.9,7.58,2.15,9.33,1,Brazil,43,106,21.0,0.2,6.24
Lesley Chimuanya Ugochukwu,170,6.28,5.43,8.68,4.57,2,Rennes,7,235,85.0,1.9,6.24
Aurélien Djani Tchouaméni,645,9.85,4.1,5.42,5.59,7,France,43,106,92.1,7.2,6.239999999999999
Thierry Henry,91,6.0,8.1,1.61,9.24,1,Arsenal,2,44,91.0,1.0,6.2375
Abdessamad Ezzalzouli,44,0.49,9.96,4.72,9.73,2,Morocco,43,106,22.0,0.5,6.2250000000000005
Rômulo Souza Orestes Caldeira,233,4.87,8.21,5.66,6.14,7,Hellas Verona,12,27,33.3,2.6,6.220000000000001
Adrien Rabiot,507,9.71,5.41,5.5,4.22,6,France,43,106,84.5,5.6,6.21
Jasir Asani,63,2.17,9.23,4.5,8.94,1,Albania,55,282,63.0,0.7,6.21
Rubén Pardo Gutiérrez,170,4.3,5.57,5.75,9.2,2,Real Sociedad,11,4,85.0,1.9,6.205
Eduardo Expósito Jaén,108,6.18,4.34,9.42,4.88,2,Eibar,11,42,54.0,1.2,6.204999999999999
Denis Bouanga,164,2.19,8.53,8.31,5.78,2,Saint-Étienne,7,108,82.0,1.8,6.202500000000001
Ivan Radovanović,2107,9.37,3.92,7.18,4.31,26,Chievo,12,27,81.0,23.4,6.194999999999999
Hakim Ziyech,359,8.17,4.95,3.23,8.41,4,Morocco,43,106,89.8,4.0,6.19
Daniel James,40,6.36,8.41,0.52,9.47,1,Wales,43,106,40.0,0.4,6.1899999999999995
Gary Alexis Medel Soto,2093,9.6,3.03,7.5,4.63,25,Inter Milan,12,27,83.7,23.3,6.1899999999999995
Rúben Diogo Da Silva Neves,266,9.91,2.56,7.38,4.9,5,Portugal,43,106,53.2,3.0,6.1875
Claus Jensen,183,5.35,7.24,4.67,7.49,2,Charlton Athletic,2,44,91.5,2.0,6.1875
Markel Susaeta Laskurain,88,5.22,7.13,3.47,8.91,1,Athletic Club,11,4,88.0,1.0,6.1825
Aaron Ramsey,278,9.43,3.0,7.14,5.12,3,Wales,43,106,92.7,3.1,6.1725
Joshua Kimmich,289,9.34,4.18,3.54,7.61,3,Germany,43,106,96.3,3.2,6.1674999999999995
Seydou Kéita,1375,9.49,3.65,7.07,4.44,20,AS Roma,12,27,68.8,15.3,6.1625000000000005
Eric Daniel Djemba-Djemba,58,7.87,4.01,4.5,8.26,1,Manchester United,2,44,58.0,0.6,6.16
Rubén Alcaraz Jiménez,184,6.79,5.78,7.68,4.39,2,Real Valladolid,11,90,92.0,2.0,6.16
Amine Harit,70,5.17,6.64,3.17,9.57,1,Marseille,7,235,70.0,0.8,6.137499999999999
Arda Güler,118,6.48,4.08,8.86,5.08,2,Turkey,55,282,59.0,1.3,6.125
Nabil Fekir,81,4.76,9.66,1.51,8.55,1,Real Betis,11,90,81.0,0.9,6.12
Daniel José Rodríguez Vázquez,184,5.79,4.94,5.72,8.03,2,Mallorca,11,42,92.0,2.0,6.119999999999999
Jermaine Pennant,179,3.52,8.12,8.29,4.54,2,Leeds United,2,44,89.5,2.0,6.1175
Hee-Chan Hwang,124,3.7,6.53,4.51,9.73,2,South Korea,43,106,62.0,1.4,6.1175
Mehdi Torabi,77,6.02,5.55,3.99,8.91,3,Iran,43,106,25.7,0.9,6.1175
Arturo Erasmo Vidal Pardo,1806,9.62,2.38,6.57,5.89,29,Barcelona,11,4,62.3,20.1,6.115
Felipe Melo de Carvalho,1790,9.23,4.3,6.57,4.36,26,Inter Milan,12,27,68.8,19.9,6.115
