midfielder,team,season_id,pass_control,ball_progression,defensive_contribution,creative_output,cluster_profile,relative_pass_control,relative_ball_progression,relative_defensive_contribution,relative_creative_output
Keisuke Honda,AC Milan,27,8.31,6.88,8.38,8.65,Advanced Playmaker,0.2550000000000008,-1.1749999999999998,0.32500000000000107,0.5950000000000006
Kenneth McLean,Scotland,282,6.66,6.03,4.83,2.07,Advanced Playmaker,1.7624999999999993,1.1324999999999994,-0.06750000000000078,-2.827500000000001
Kenneth Taylor,Netherlands,106,8.43,0.85,0.52,2.07,Advanced Playmaker,5.4625,-2.1174999999999997,-2.4475,-0.8975
Kevin Sessa,FC Heidenheim,281,3.66,3.53,1.67,2.07,Advanced Playmaker,0.9275000000000002,0.7974999999999999,-1.0625,-0.6625000000000001
Kobbie Mainoo,England,282,9.8,3.81,8.83,5.7,Advanced Playmaker,2.7650000000000006,-3.225,1.795,-1.335
Kolo Habib Touré,Arsenal,44,6.66,6.42,0.52,2.07,Advanced Playmaker,2.7425,2.5025,-3.3975,-1.8475000000000001
Konrad Laimer,Austria,282,9.38,8.05,4.36,5.31,Advanced Playmaker,2.6050000000000013,1.2750000000000012,-2.414999999999999,-1.4649999999999999
Kouadio Emmanuel Koné,Borussia Mönchengladbach,281,4.7,4.39,3.52,2.07,Advanced Playmaker,1.0300000000000002,0.7199999999999998,-0.1499999999999999,-1.6
Kristjan Asllani,Albania,282,9.22,4.32,8.84,8.57,Advanced Playmaker,1.4825,-3.4175000000000004,1.1024999999999991,0.8324999999999996
Krystian Bielik,Poland,106,9.31,5.34,2.33,2.07,Advanced Playmaker,4.5475,0.5774999999999997,-2.4325,-2.6925000000000003
Kwadwo Asamoah,Juventus,27,9.16,5.46,6.63,8.83,Advanced Playmaker,1.6400000000000006,-2.0599999999999996,-0.8899999999999997,1.3100000000000005
Leander Dendoncker,Belgium,106,7.92,2.97,2.04,5.67,Advanced Playmaker,3.2699999999999996,-1.6800000000000002,-2.6100000000000003,1.0199999999999996
