player,season_id,minutes_played,cluster,Cluster Label
Borja Valero Iglesias,27,90,3,Advanced Forward
Emanuele Giaccherini,27,183,3,Advanced Forward
Emanuele Suagher,27,1,3,Advanced Forward
Kamil Wilczek,27,119,3,Advanced Forward
Antonio Di Gaudio,27,211,3,Advanced Forward
Keita Baldé Diao,27,548,2,Complete Forward
Domenico Berardi,27,84,3,Advanced Forward
Nicolás Ignacio Castillo Mora,27,291,3,Advanced Forward
Panagiotis Tachtsidis,27,54,1,Target Man
Paul-José M''Poku Ebunge,27,273,2,Complete Forward
Juan Ignacio Gómez Taleb,27,1091,1,Target Man
Juan Guillermo Cuadrado Bello,27,12,1,Target Man
Rodrigo Sebastián Aguirre Soto,27,332,2,Complete Forward
Roberto Maximiliano Pereyra,27,91,3,Advanced Forward
Andrés Fabián Ponce Núñez,27,4,0,Poacher
Andrea Poli,27,8,3,Advanced Forward
Ryder Matos Santos,27,641,2,Complete Forward
Ricardo Gabriel Álvarez,27,33,2,Complete Forward
Robert Acquafresca,27,191,1,Target Man
Riccardo Saponara,27,185,3,Advanced Forward
Gaetano Monachello,27,340,2,Complete Forward
Ante Rebić,27,142,3,Advanced Forward
Samuele Longo,27,318,1,Target Man
Guglielmo Stendardo,27,24,3,Advanced Forward
Giuseppe Rossi,27,238,1,Target Man
Goran Pandev,27,829,3,Advanced Forward
Giuseppe Panico,27,1,0,Poacher
Sergej Milinković-Savić,27,94,0,Poacher
Sebastian De Maio,27,93,1,Target Man
Segundo Víctor Ibarbo Guerrero,27,0,1,Target Man
