player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Teddy Sheringham,91,10.0,9.94,7.18,1.35,3.65,8.65,10.0,1,91.0,2,44
Daniel Olmo Carvajal,93,10.0,10.0,5.92,5.66,8.95,2.11,9.87,1,93.0,9,281
Georges Mikautadze,350,10.0,10.0,9.78,9.89,9.68,7.1,4.3,4,87.5,55,282
Gonzalo Gerardo Higuaín,2999,10.0,9.16,9.23,7.48,6.71,5.87,8.45,35,85.69,12,27
Ludovic Blas,93,10.0,9.92,7.81,6.09,6.41,8.75,4.53,1,93.0,7,235
Omar El Kaddouri,4,9.94,10.0,0.45,0.32,0.84,0.42,3.19,1,4.0,12,27
Mohamed Salah,790,9.87,9.55,9.94,8.65,9.94,6.84,6.84,9,87.78,12,27
Lionel Andrés Messi Cuccittini,2311,9.87,9.22,9.87,9.74,9.09,7.27,8.96,26,88.88,11,90
Enner Remberto Valencia Lastra,258,9.85,9.77,9.77,8.2,8.87,6.47,9.32,3,86.0,43,106
Krzysztof Piątek,59,9.84,9.78,4.41,2.26,8.71,1.83,4.3,1,59.0,55,282
Mama Samba Baldé,89,9.84,8.44,7.03,8.44,4.84,6.72,4.53,1,89.0,7,235
Ike Ugbo,75,9.84,10.0,4.05,4.44,7.3,1.11,4.52,1,75.0,7,108
Jesús Joaquín Fernández Sáez de la Torre,459,9.81,9.48,7.87,7.61,6.39,8.97,3.19,7,65.57,12,27
Jaime Mata Arnaiz,91,9.81,8.97,4.74,4.17,9.49,2.63,4.62,1,91.0,11,4
André Ayew Pelé,76,9.77,9.17,2.67,2.52,4.21,3.31,4.1,1,76.0,43,106
Ante Budimir,165,9.75,9.87,6.08,8.48,4.18,9.49,9.43,2,82.5,11,42
Ikoma Loïs Openda,165,9.74,9.74,1.32,7.5,9.87,1.58,8.68,2,82.5,9,281
Eiður Smári Guðjohnsen,59,9.71,9.53,4.29,5.53,6.24,5.18,4.65,1,59.0,2,44
Tomasz Radziński,92,9.71,9.18,3.76,4.24,4.35,9.24,4.65,1,92.0,2,44
Grejohn Kyei,83,9.69,9.45,4.22,6.25,6.56,5.47,4.53,1,83.0,7,235
Luka Jović,62,9.68,9.46,5.48,6.13,1.83,2.9,9.73,2,31.0,55,282
Jakub Błaszczykowski,34,9.68,9.9,2.06,2.23,2.26,2.16,3.19,1,34.0,12,27
Stephan El Shaarawy,152,9.68,9.61,5.1,2.13,3.42,3.1,3.19,2,76.0,12,27
Anthony Mounier,93,9.68,9.9,2.77,2.52,3.23,3.03,3.19,1,93.0,12,27
Randal Kolo Muani,184,9.68,9.68,5.71,5.08,5.56,5.08,9.52,2,92.0,7,108
Álvaro Giménez Candela,61,9.68,9.35,2.21,5.58,6.75,4.55,4.35,1,61.0,11,90
Cody Mathès Gakpo,456,9.62,10.0,8.95,9.62,9.17,7.22,9.21,5,91.2,43,106
Cristhian Ricardo Stuani Curbelo,184,9.62,9.87,1.92,3.85,8.72,3.85,4.62,2,92.0,11,4
Victor Okoh Boniface,1499,9.61,9.47,9.08,10.0,8.42,8.42,8.55,22,68.14,9,281
Adam Buksa,153,9.57,8.39,3.87,3.71,3.44,1.08,9.73,2,76.5,55,282
Mauro Emanuel Icardi Rivero,2612,9.55,9.42,6.26,6.19,6.32,6.9,7.94,33,79.15,12,27
Richarlison de Andrade,325,9.55,9.02,8.46,8.8,9.55,6.99,4.1,4,81.25,43,106
Thierry Henry,3368,9.53,9.29,8.71,10.0,9.29,7.06,9.53,37,91.03,2,44
Kevin Volland,24,9.53,9.92,5.78,6.8,2.34,9.84,4.53,1,24.0,7,235
José Manuel Arnáiz Díaz,70,9.49,9.3,0.51,8.29,5.06,2.09,4.37,1,70.0,11,42
Fyodor Smolov,60,9.49,9.62,2.41,9.11,7.59,0.51,4.37,1,60.0,11,42
Dries Mertens,198,9.48,7.1,5.23,3.81,4.77,3.42,9.94,3,66.0,12,27
Mehdi Taremi,299,9.47,8.87,9.1,10.0,9.02,9.02,4.1,3,99.67,43,106
Niclas Füllkrug,189,9.47,8.82,6.97,7.37,7.63,7.63,4.21,2,94.5,9,281
Khvicha Kvaratskhelia,265,9.46,8.06,9.68,10.0,9.89,1.4,4.3,3,88.33,55,282
Carlos Arturo Bacca Ahumada,3174,9.42,9.35,8.0,7.35,8.52,6.06,7.87,38,83.53,12,27
Julián Álvarez,428,9.4,9.25,7.37,9.85,7.29,7.52,4.1,6,71.33,43,106
Kylian Mbappé Lottin,2221,9.38,9.06,9.69,10.0,8.12,7.5,4.53,26,85.42,7,235
Cenk Tosun,28,9.35,9.78,0.7,1.4,0.86,4.78,4.3,2,14.0,55,282
Ioan Viorel Ganea,91,9.35,9.0,8.82,7.06,5.65,2.29,4.65,1,91.0,2,44
Harry Kewell,91,9.35,8.82,7.65,7.65,7.88,9.06,4.65,1,91.0,2,44
Leonardo Pavoletti,1933,9.35,8.52,4.65,6.26,5.16,9.74,9.29,25,77.32,12,27
Eder Citadin Martins,1666,9.29,8.97,9.35,8.9,9.35,9.42,8.13,23,72.43,12,27
Terem Igobor Moffi,167,9.29,9.52,7.3,3.81,9.68,4.29,4.52,2,83.5,7,108
Osman Bukari,19,9.29,9.7,6.92,2.52,9.77,3.87,10.0,1,19.0,43,106
Andy Delort,117,9.29,8.89,3.33,6.11,3.65,3.65,9.37,2,58.5,7,108
Arnaldo Antonio Sanabria Ayala,70,9.29,9.09,1.49,3.51,9.74,2.34,4.35,1,70.0,11,90
Santiago Mina Lorenzo,120,9.29,8.25,2.47,2.73,3.9,2.73,4.35,2,60.0,11,90
Deniz Undav,156,9.28,8.95,9.47,4.87,4.08,6.18,9.28,2,78.0,9,281
Florian Wirtz,270,9.28,9.87,10.0,9.87,7.89,9.21,4.21,3,90.0,9,281
Gervais Lombe Yao Kouassi,539,9.23,8.39,10.0,9.68,9.81,3.48,8.97,6,89.83,12,27
Joaquín Sánchez Rodríguez,58,9.23,8.78,8.4,5.32,4.74,2.05,4.62,1,58.0,11,4
Sergio Canales Madrazo,33,9.23,9.49,3.46,3.4,1.15,3.33,4.62,1,33.0,11,4
Hernán Jorge Crespo,90,9.18,9.0,1.53,4.53,8.59,1.71,4.65,1,90.0,2,44
Mario Mandžukić,2057,9.16,8.32,8.39,7.03,5.35,9.1,9.48,27,76.19,12,27
Bradley Barcola,71,9.14,9.45,8.28,6.8,5.16,7.03,4.53,1,71.0,7,235
Breel-Donald Embolo,328,9.1,9.32,9.47,9.55,8.12,6.92,4.1,4,82.0,43,106
Paulo Bruno Exequiel Dybala,2408,9.1,8.19,9.48,8.26,8.77,6.45,6.52,33,72.97,12,27
Oscar Vilhelmsson,124,9.08,8.68,4.61,6.97,6.84,6.58,9.28,2,62.0,9,281
Robbie Keane,189,9.06,9.65,6.35,8.59,7.06,1.53,4.65,2,94.5,2,44
Gaëtan Laborde,175,9.05,8.41,2.7,6.67,7.62,7.3,4.52,2,87.5,7,108
Harry Kane,601,9.03,8.82,8.82,8.6,8.82,7.53,8.6,7,85.86,55,282
Roberto Soriano,185,9.03,8.77,6.13,3.55,5.87,4.06,3.19,2,92.5,12,27
Olivier Giroud,472,9.02,8.5,8.35,8.87,3.16,9.77,9.1,6,78.67,43,106
Adem Ljajić,310,8.97,9.23,8.84,9.61,3.68,6.26,3.19,6,51.67,12,27
Patrik Schick,1053,8.95,9.08,8.16,9.21,4.74,7.76,8.82,19,55.42,9,281
Arda Güler,251,8.92,9.57,9.35,8.28,7.85,5.38,4.3,3,83.67,55,282
Luca Paganini,99,8.9,9.81,1.29,0.71,2.65,1.16,3.19,2,49.5,12,27
Paul Dickov,111,8.88,9.41,9.0,4.71,8.94,2.71,9.65,2,55.5,2,44
Paolo Di Canio,138,8.88,9.76,5.76,6.82,3.29,5.06,4.65,2,69.0,2,44
Aleksandar Mitrović,266,8.87,8.35,8.05,8.12,9.25,5.41,9.4,3,88.67,43,106
Diego da Silva Costa,106,8.85,9.49,4.36,2.95,3.08,7.82,9.74,2,53.0,11,4
Duván Esteban Zapata Banguera,1548,8.84,8.06,7.55,9.03,8.06,7.55,8.97,25,61.92,12,27
Ousmane Dembélé,429,8.83,8.44,9.74,9.87,8.57,4.94,9.16,6,71.5,11,90
Folarin Balogun,95,8.83,7.34,1.88,2.97,8.28,7.34,4.53,1,95.0,7,235
Branco van den Boomen,92,8.83,8.2,7.97,5.0,7.19,9.38,4.53,1,92.0,7,235
Borja Mayoral Moya,126,8.8,7.72,8.35,7.03,5.32,6.33,4.37,2,63.0,11,42
Alphonso Davies,277,8.8,9.1,6.09,9.7,9.7,4.59,9.62,3,92.33,43,106
Umar Sadiq Mesbah,195,8.77,9.68,1.68,4.39,1.81,1.55,9.35,4,48.75,12,27
Marko Arnautović,283,8.76,9.35,7.53,8.39,9.25,9.46,4.3,4,70.75,55,282
Denis Mihai Drăguş,292,8.76,9.14,8.71,9.25,6.24,5.16,4.3,4,73.0,55,282
Michael Owen,159,8.71,8.35,3.06,5.82,7.65,8.0,4.65,2,79.5,2,44
Alberto Paloschi,1692,8.71,8.9,4.58,6.45,7.16,3.23,9.61,21,80.57,12,27
Tim Kleindienst,173,8.68,8.36,2.04,3.29,5.66,6.32,9.28,2,86.5,9,281
Maximilian Beier,157,8.68,9.34,7.5,8.68,6.58,7.37,4.21,2,78.5,9,281
Gue-Sung Cho,291,8.65,8.2,7.29,9.17,7.89,9.7,9.92,4,72.75,43,106
Alberto Gilardino,2371,8.65,8.84,5.29,5.81,8.26,7.81,8.97,33,71.85,12,27
Luuk de Jong,145,8.64,7.79,2.99,1.69,3.12,5.91,4.35,2,72.5,11,90
Iago Aspas Juncal,185,8.61,8.86,8.1,6.71,5.19,2.41,9.75,2,92.5,11,42
Barnabás Varga,255,8.6,8.49,7.42,8.06,7.74,8.6,9.03,3,85.0,55,282
Luis Alberto Suárez Díaz,2669,8.59,8.46,9.87,10.0,8.59,7.56,9.23,31,86.1,11,4
Neymar da Silva Santos Junior,369,8.59,8.75,10.0,9.84,9.22,6.88,9.22,4,92.25,7,235
Robert Pirès,180,8.59,8.12,9.29,6.47,10.0,2.94,4.65,2,90.0,2,44
Miroslav Klose,1328,8.58,8.58,3.35,8.06,5.55,8.52,8.39,22,60.36,12,27
Gareth Frank Bale,188,8.57,9.85,6.69,5.04,5.71,5.71,4.1,2,94.0,43,106
Marco Borriello,1605,8.52,6.97,8.52,8.58,8.9,4.39,9.74,26,61.73,12,27
Jean-Eric Maxim Choupo-Moting,264,8.5,9.62,7.14,9.32,4.14,10.0,4.1,3,88.0,43,106
Kai Havertz,397,8.49,8.28,9.25,9.46,5.91,9.57,10.0,5,79.4,55,282
Alexander Isak,146,8.48,8.73,5.95,8.86,7.85,5.32,9.43,2,73.0,11,42
Nicolas Anelka,177,8.47,8.47,7.76,6.12,7.29,4.0,4.65,2,88.5,2,44
Kevin Gameiro,105,8.46,9.49,3.46,8.72,3.85,1.41,4.62,2,52.5,11,4
Federico Dionisi,2117,8.45,8.45,9.03,7.55,9.87,7.23,8.26,26,81.42,12,27
Karl Brillant Toko Ekambi,92,8.44,8.2,8.59,6.8,6.88,4.84,4.53,1,92.0,7,235
Wout Weghorst,172,8.42,8.36,6.32,3.16,4.21,7.5,4.21,2,86.0,9,281
Daizen Maeda,180,8.42,7.44,4.1,1.2,5.94,7.37,4.1,3,60.0,43,106
Mauro Matías Zárate,287,8.39,7.74,7.23,9.16,2.9,6.97,8.97,6,47.83,12,27
Alan Smith,180,8.35,8.71,5.18,4.0,6.47,6.71,4.65,2,90.0,2,44
Massimo Maccarone,2762,8.32,6.65,5.55,6.71,7.23,8.84,8.71,36,76.72,12,27
Amine Adli,211,8.29,8.16,6.45,5.92,6.71,3.29,4.21,5,42.2,9,281
Ivan Toney,46,8.28,8.71,2.37,0.43,6.13,7.2,4.3,3,15.33,55,282
Ollie Watkins,62,8.28,8.92,0.7,0.97,1.94,1.61,4.3,3,20.67,55,282
Andrea Belotti,2638,8.26,8.71,8.45,7.94,6.0,7.74,7.77,35,75.37,12,27
Maximiliano Gómez González,178,8.25,8.77,4.42,7.14,4.16,2.47,9.55,2,89.0,11,90
Anssumane Fati,123,8.25,7.4,6.56,5.84,5.97,2.99,4.35,2,61.5,11,90
Álvaro Negredo Sánchez,89,8.25,8.77,4.29,5.58,8.05,5.19,4.35,2,44.5,11,90
Yakubu Aiyegbeni,150,8.24,7.88,4.59,7.76,9.06,7.65,4.65,2,75.0,2,44
Antoine Griezmann,1262,8.23,8.99,9.87,9.49,8.86,9.37,8.73,17,74.24,11,42
Robert Lewandowski,380,8.2,7.89,7.97,8.95,6.62,7.97,4.1,4,95.0,43,106
Radja Nainggolan,216,8.19,9.74,9.16,4.77,8.13,9.48,3.19,3,72.0,12,27
Alessio Cerci,501,8.13,8.65,9.1,9.1,7.74,8.32,3.19,10,50.1,12,27
Jonathan Bamba,84,8.12,7.97,6.48,4.69,8.91,1.41,4.53,1,84.0,7,235
Sylvain Wiltord,478,8.12,8.0,9.88,9.76,6.59,7.53,9.29,10,47.8,2,44
Youssef En-Nesyri,537,8.12,7.97,3.23,6.99,8.27,7.74,8.2,7,76.71,43,106
M''Baye Babacar Niang,984,8.06,7.94,7.16,9.23,9.16,5.23,3.19,13,75.69,12,27
Takuma Asano,181,8.05,8.95,3.76,6.84,4.44,3.46,8.95,4,45.25,43,106
Cyril Théréau,2725,8.0,7.29,8.77,8.19,8.45,9.29,7.29,33,82.58,12,27
José Antonio Reyes Calderón,661,8.0,7.53,9.53,9.88,9.41,7.88,9.41,13,50.85,2,44
Saleh Khalid Al Shehri,222,7.97,9.55,7.07,7.82,7.37,7.07,4.1,3,74.0,43,106
José María Callejón Bueno,280,7.94,7.48,7.68,5.35,6.45,5.81,3.19,4,70.0,12,27
Dennis Bergkamp,1665,7.88,8.24,9.76,9.53,8.0,8.12,4.65,26,64.04,2,44
Kevin Lasagna,1113,7.87,9.1,2.58,5.68,5.61,5.74,3.19,24,46.38,12,27
Michy Batshuayi Tunga,151,7.86,6.47,1.5,3.46,7.74,1.35,4.1,2,75.5,43,106
Vincent Paté Aboubakar,111,7.86,7.78,3.16,2.52,7.59,4.81,9.62,2,55.5,43,106
Memphis Depay,463,7.85,7.42,8.49,8.82,7.42,8.28,4.3,6,77.17,55,282
Simone Zaza,685,7.81,8.26,4.9,8.77,5.1,5.48,8.06,19,36.05,12,27
Nwankwo Christian Kanu,402,7.76,7.65,10.0,9.65,5.53,9.41,4.65,9,44.67,2,44
Gonçalo Matias Ramos,163,7.74,7.29,5.71,4.81,2.26,3.38,4.1,4,40.75,43,106
Cristiano Ronaldo dos Santos Aveiro,490,7.74,7.63,8.28,9.35,7.63,7.96,8.82,5,98.0,55,282
Mattia Destro,2181,7.74,7.87,5.42,7.81,6.19,2.0,6.39,27,80.78,12,27
Kevin-Prince Boateng,73,7.68,9.29,2.52,1.9,9.1,1.81,3.19,3,24.33,12,27
Ignatius Kpene Ganago,101,7.66,7.19,3.59,9.22,3.75,8.44,4.53,2,50.5,7,235
Roman Yaremchuk,125,7.63,8.17,7.04,4.62,4.84,5.05,4.3,3,41.67,55,282
Sergio Floccari,1408,7.61,6.58,8.06,5.55,7.42,7.16,8.65,20,70.4,12,27
Daniel Ciofani,2938,7.55,7.16,6.0,5.29,8.32,8.58,9.23,37,79.41,12,27
Pedro Guilherme Abreu dos Santos,71,7.52,7.56,4.81,4.47,2.48,4.21,4.1,2,35.5,43,106
Famara Diedhiou,90,7.52,6.92,1.43,2.52,7.82,3.23,8.76,2,45.0,43,106
Henry Josué Martín Mex,146,7.52,7.14,2.26,3.98,1.95,4.06,9.62,2,73.0,43,106
Arnaud Kalimuendo Muinga,150,7.5,8.91,6.25,5.31,9.53,2.03,4.53,2,75.0,7,235
Ciro Immobile,1009,7.48,6.19,4.97,9.29,9.29,3.55,7.39,14,72.07,12,27
Mauricio Ricardo Pinilla Ferreira,1364,7.42,8.13,6.65,7.16,7.35,7.87,8.0,20,68.2,12,27
Rafael Mir Vicente,181,7.4,7.14,8.31,9.22,5.71,5.06,4.35,2,90.5,11,90
Mohammed Muntari,68,7.37,8.42,3.38,0.94,3.31,8.87,8.38,3,22.67,43,106
Robin Quaison,412,7.35,9.03,7.74,8.39,4.52,3.81,3.19,7,58.86,12,27
Alessandro Matri,815,7.29,6.0,7.81,6.32,3.35,7.68,7.68,18,45.28,12,27
Martin Braithwaite Christensen,759,7.27,6.75,4.55,9.48,5.32,7.79,8.7,20,37.95,11,90
Franco Damián Vázquez,1546,7.23,6.77,9.42,8.97,9.68,8.9,6.94,17,90.94,12,27
Mitchell Thomas Duke,270,7.22,7.22,4.29,8.65,7.22,8.12,9.85,4,67.5,43,106
Kwadwo Duah,109,7.2,7.53,3.17,5.27,3.23,2.58,4.3,3,36.33,55,282
Hugo Ekitike,631,7.19,7.5,7.66,9.53,7.81,10.0,9.06,15,42.07,7,235
Luis Fernando Muriel Fruto,1541,7.16,6.45,7.61,8.52,6.65,7.35,7.55,26,59.27,12,27
Cheikh Ahmadou Bamba Mbacke Dieng,114,7.14,8.72,1.09,1.5,7.07,2.26,4.1,4,28.5,43,106
Michael Gregoritsch,135,7.1,5.38,5.16,3.33,4.41,9.03,8.71,4,33.75,55,282
Nikola Kalinić,2577,7.1,7.61,8.19,6.77,4.45,5.1,7.77,35,73.63,12,27
Bruno Petković,244,7.07,8.27,6.24,8.35,3.61,8.2,4.1,6,40.67,43,106
Germán Gustavo Denis,999,7.03,8.0,7.1,6.06,5.23,7.94,8.32,15,66.6,12,27
Mikel Oyarzabal Ugarte,146,6.99,6.24,6.24,3.12,3.87,5.59,4.3,6,24.33,55,282
Marco Asensio Willemsen,229,6.99,7.67,8.87,7.74,4.36,2.11,4.1,4,57.25,43,106
Manolo Gabbiadini,503,6.97,5.48,2.26,4.97,1.68,5.61,6.77,20,25.15,12,27
Edin Džeko,2017,6.9,5.74,7.48,6.58,5.68,8.65,9.55,31,65.06,12,27
Juan Manuel Iturbe Arévalo,55,6.84,6.32,1.1,4.26,1.1,8.0,3.19,3,18.33,12,27
Haji Wright,154,6.77,6.69,5.56,5.34,3.68,5.11,4.1,4,38.5,43,106
Luiz Adriano de Souza da Silva,1125,6.77,7.42,6.77,5.48,4.0,5.94,7.23,23,48.91,12,27
Luca Toni,1809,6.71,6.39,2.71,6.13,7.55,6.0,9.68,23,78.65,12,27
Lautaro Javier Martínez,270,6.69,7.37,2.86,8.5,6.92,6.54,4.1,6,45.0,43,106
Fabio Quagliarella,2604,6.65,6.13,7.42,6.65,7.81,5.03,8.77,31,84.0,12,27
Sergio Pellissier,951,6.58,7.68,5.68,5.23,3.55,5.42,9.16,18,52.83,12,27
Riccardo Meggiorini,1530,6.52,7.81,5.16,9.35,4.71,6.19,6.45,23,66.52,12,27
Gregoire Defrel,1891,6.45,6.84,8.58,8.0,7.87,6.52,3.19,29,65.21,12,27
Álvaro Borja Morata Martín,1375,6.39,7.35,6.32,6.9,4.84,7.61,7.16,31,44.35,12,27
Ivan Perišić,138,6.32,4.65,4.39,3.68,2.58,2.65,9.84,3,46.0,12,27
Stevan Jovetić,1330,6.26,5.81,8.26,7.29,8.58,9.61,3.19,21,63.33,12,27
Khouma El Hadji Babacar,778,6.19,5.16,3.68,4.32,5.74,3.94,6.58,15,51.87,12,27
Manuel Pucciarelli,3089,6.13,7.23,8.9,6.97,7.94,7.29,3.19,38,81.29,12,27
Uroš Đurđević,468,6.06,6.26,4.45,9.94,2.77,3.74,8.55,14,33.43,12,27
Maximiliano Gastón López,1127,6.0,5.61,3.81,5.1,3.81,4.45,6.65,26,43.35,12,27
Marcello Trotta,204,5.94,6.71,4.71,3.87,3.16,8.77,3.19,8,25.5,12,27
Giampaolo Pazzini,1919,5.87,6.06,4.0,5.42,6.26,5.16,7.1,29,66.17,12,27
Roberto Inglese,1409,5.81,7.55,3.87,4.71,5.81,7.42,7.55,26,54.19,12,27
Stipe Perica,471,5.74,5.1,6.71,7.42,7.61,4.97,9.42,11,42.82,12,27
Josef Alexander Martínez Mencia,906,5.68,5.55,4.52,5.61,3.61,4.77,3.19,17,53.29,12,27
Matteo Mancosu,915,5.61,6.52,3.03,8.45,3.48,3.68,3.19,20,45.75,12,27
Francesco Totti,372,5.55,5.03,8.71,8.32,9.23,9.16,3.19,11,33.82,12,27
Aleksandar Trajkovski,690,5.48,5.94,5.74,9.87,6.84,5.29,3.19,14,49.29,12,27
Jérémy Ménez,205,5.42,4.0,3.29,4.9,2.0,2.32,3.19,6,34.17,12,27
Serge Gakpé,637,5.35,5.87,8.97,7.68,5.29,6.65,10.0,8,79.62,12,27
Filip Đorđević,1325,5.29,5.35,3.74,5.94,6.52,4.71,8.19,27,49.07,12,27
Antonio Di Natale,1161,5.23,6.9,5.87,4.19,3.94,4.9,3.19,23,50.48,12,27
Diego Perotti,847,5.16,4.58,9.81,9.42,7.68,9.23,3.19,11,77.0,12,27
Antonio Cassano,992,5.1,4.26,7.94,7.1,6.9,8.45,3.19,18,55.11,12,27
Diego Falcinelli,1137,5.03,4.39,5.03,6.84,3.1,4.58,6.71,25,45.48,12,27
Marko Livaja,628,4.97,3.87,6.06,8.84,4.58,6.71,3.19,17,36.94,12,27
Mario Barwuah Balotelli,886,4.9,5.68,6.84,7.87,4.13,3.16,3.19,20,44.3,12,27
Jerry Uche Mbakogu,1718,4.84,5.23,4.84,7.74,9.03,4.19,7.03,24,71.58,12,27
Antonio Floro Flores,762,4.77,4.06,7.29,6.52,4.9,9.35,6.94,17,44.82,12,27
Rodrigo Sebastián Palacio,866,4.71,3.03,5.61,5.03,3.74,4.84,3.19,17,50.94,12,27
Sambou Soumano,20,4.29,1.98,4.05,2.06,0.63,9.13,4.52,1,20.0,7,108
Massadio Haïdara,29,4.29,5.87,9.44,8.41,2.22,3.41,4.52,1,29.0,7,108
Sekou Oumar Yansane,17,4.29,1.98,4.05,0.56,1.51,8.57,4.52,1,17.0,7,108
Ryad Boudebouz,91,4.29,5.87,6.98,3.65,7.46,5.56,4.52,1,91.0,7,108
Martin Adeline,34,4.29,1.98,9.44,5.79,8.89,9.13,4.52,1,34.0,7,108
Quentin Boisgard,14,4.29,5.87,4.05,4.92,6.51,2.38,4.52,1,14.0,7,108
