player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Phillip Tietz,151,4.14,4.14,6.84,5.53,9.08,8.29,4.21,2,75.5,9,281
Philipp Hofmann,59,4.14,5.66,2.24,0.26,3.29,8.03,4.21,1,59.0,9,281
Rafael Santos Borré Amaury,71,4.14,5.66,2.63,1.91,3.95,4.74,9.87,1,71.0,9,281
Jonas Hofmann,170,4.14,5.66,5.39,6.45,5.39,4.08,4.21,2,85.0,9,281
Dion Drena Beljo,15,4.14,1.97,3.03,0.66,0.79,0.59,4.21,2,7.5,9,281
Karim Onisiwo,163,4.14,6.97,7.11,3.55,6.18,2.89,9.28,2,81.5,9,281
Borja Iglesias Quintas,260,4.14,7.11,9.87,9.47,5.0,8.82,8.42,7,37.14,9,281
Benedict Hollerbach,17,4.14,1.97,3.03,6.97,2.37,0.59,4.21,1,17.0,9,281
Jessic Ngankam,10,4.14,1.97,0.59,0.26,2.5,0.59,4.21,1,10.0,9,281
Jonas Older Wind,123,4.14,7.5,3.55,4.21,4.61,2.24,4.21,2,61.5,9,281
Woo-Yeong Jeong,26,4.14,1.97,2.04,3.68,1.84,9.08,4.21,2,13.0,9,281
Robin Hack,61,4.14,5.66,7.3,5.79,7.37,4.87,4.21,1,61.0,9,281
Serhou Guirassy,191,4.14,6.71,5.79,4.47,5.26,5.79,4.21,2,95.5,9,281
Mikkel Kaufmann,49,4.14,1.97,7.76,1.91,4.47,5.07,4.21,1,49.0,9,281
David Datro Fofana,77,4.14,1.97,9.21,6.71,3.82,7.04,4.21,1,77.0,9,281
Christoph Klarer,12,4.14,1.97,0.59,1.91,2.11,8.62,4.21,1,12.0,9,281
Fares Chaïbi,82,4.14,5.66,7.63,6.18,5.92,2.43,4.21,1,82.0,9,281
Faride Alidou,142,4.14,4.14,7.89,8.42,7.5,5.39,4.21,2,71.0,9,281
Filip Stojilković,34,4.14,1.97,0.59,9.74,1.18,7.89,4.21,1,34.0,9,281
Ermedin Demirović,168,4.14,7.63,4.21,6.32,9.21,9.61,4.21,2,84.0,9,281
Davie Selke,90,4.14,5.66,6.18,1.91,3.68,4.34,4.21,1,90.0,9,281
Dawid Kownacki,20,4.14,1.97,1.71,1.91,2.76,6.45,4.21,1,20.0,9,281
Kevin Behrens,14,4.14,1.97,1.18,0.53,2.24,3.09,4.21,2,7.0,9,281
Lucas Höler,93,4.14,7.89,4.47,1.91,6.97,5.66,4.21,1,93.0,9,281
Lukas Daschner,32,4.14,1.97,7.3,8.03,2.63,1.38,4.21,1,32.0,9,281
Luca Pfeiffer,184,4.14,4.74,5.66,6.58,8.16,3.55,4.21,2,92.0,9,281
Moritz Broschinski,29,4.14,1.97,8.95,6.05,3.42,5.07,4.21,1,29.0,9,281
Nick Woltemade,89,4.14,4.14,5.53,3.03,8.29,5.26,4.21,2,44.5,9,281
Nadiem Amiri,4,4.14,1.97,3.03,8.95,0.66,7.24,4.21,1,4.0,9,281
Nathan Ngoumou Minpole,14,4.14,1.97,0.59,1.91,4.87,0.59,4.21,1,14.0,9,281
Omar Marmoush,94,4.14,5.66,8.03,8.03,9.61,8.95,4.21,1,94.0,9,281
Mërgim Berisha,6,4.14,1.97,0.59,9.61,0.26,9.41,4.21,1,6.0,9,281
Marvin Ducksch,181,4.14,1.97,4.34,5.13,4.34,5.53,4.21,2,90.5,9,281
Ihlas Bebou,22,4.14,1.97,8.36,1.91,7.24,4.34,4.21,1,22.0,9,281
Mathys Tel,23,4.14,7.89,9.34,7.63,0.13,9.87,4.21,1,23.0,9,281
Marvin Pieringer,12,4.14,1.97,6.05,0.26,1.97,0.59,4.21,1,12.0,9,281
Marius Bülter,16,4.14,1.97,0.59,1.91,0.53,0.59,4.21,1,16.0,9,281
Tomáš Čvančara,78,4.14,6.58,4.93,4.67,6.45,1.38,4.21,1,78.0,9,281
Florian Neuhaus,77,4.14,5.66,6.71,4.08,8.68,6.84,4.21,1,77.0,9,281
Ignacio Ferri Julià,15,4.14,7.89,2.63,1.91,9.47,10.0,4.21,1,15.0,9,281
Amin Sarr,74,4.14,1.97,4.93,8.55,3.03,1.18,4.21,2,37.0,9,281
Alassane Pléa,93,4.14,5.66,5.26,4.34,9.34,1.71,4.21,1,93.0,9,281
Shio Fukuda,15,4.14,1.97,3.95,1.91,3.16,2.76,4.21,1,15.0,9,281
Theoson Jordan Siebatcheu,75,4.14,1.97,1.71,1.91,5.53,7.04,4.21,1,75.0,9,281
Steffen Tigges,8,4.14,1.97,3.29,6.97,1.32,9.74,4.21,1,8.0,9,281
Tiago Barreiros de Melo Tomás,103,4.14,6.84,6.58,1.91,5.79,3.68,4.21,2,51.5,9,281
