defender,team,season_id,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,cluster_profile,relative_box_defending,relative_aerial_ability,relative_one_v_one,relative_defensive_pressure,relative_ball_progression
Mbulelo Mabizela,Tottenham Hotspur,44,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Merih Demiral,Turkey,282,7.3,7.3,7.3,7.0,6.8,Defensive Stopper,0.16000000000000103,0.16000000000000103,0.16000000000000103,-0.1399999999999988,-0.33999999999999897
Michael Duberry,Leeds United,44,5.8,5.8,5.8,5.7,6.0,Defensive Stopper,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,-0.11999999999999922,0.1800000000000006
Michael Lennart Svensson,Southampton,44,7.1,7.1,7.1,6.7,7.7,Defensive Stopper,-0.03999999999999915,-0.03999999999999915,-0.03999999999999915,-0.4399999999999986,0.5600000000000014
Mickaël Nade,Saint-Étienne,108,6.8,6.8,6.8,6.7,6.4,Defensive Stopper,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.0,-0.2999999999999998
Miguel Baeza Pérez,Celta Vigo,90,5.6,5.6,5.6,5.6,5.6,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Miha Blažič,Angers,235,5.6,5.6,5.6,5.6,5.8,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.16000000000000014
Mikel San José Domínguez,Athletic Club,4,5.6,5.6,5.6,5.5,5.4,Defensive Stopper,0.0600000000000005,0.0600000000000005,0.0600000000000005,-0.03999999999999915,-0.1399999999999988
Milan Škriniar,Slovakia,282,9.2,9.2,9.2,8.6,8.9,Defensive Stopper,0.17999999999999972,0.17999999999999972,0.17999999999999972,-0.41999999999999993,-0.11999999999999922
Milos Veljkovic,Serbia,282,8.2,8.2,8.2,7.7,8.3,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.41999999999999904,0.1800000000000015
Min Jae Kim,South Korea,106,8.1,8.1,8.1,8.1,8.2,Defensive Stopper,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.08000000000000007
Modibo Sagnan,Real Sociedad,90,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Mohamed Salisu,Ghana,106,8.3,8.3,8.3,8.3,9.1,Defensive Stopper,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014,-0.16000000000000014,0.6399999999999988
Mohamed Simakan,RB Leipzig,281,6.0,6.0,6.0,6.0,6.1,Defensive Stopper,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.07999999999999918
Mohammad Hossein Kanani Zadegan,Iran,106,5.2,5.2,5.2,5.2,5.0,Defensive Stopper,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16000000000000014
Mohammed Waed Abdulwahhab Al Bayati,Qatar,106,4.9,4.9,4.9,4.9,4.9,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Montassar Omar Talbi,Tunisia,106,8.2,8.2,8.2,8.2,8.2,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Moriba Kourouma Kourouma,Barcelona,90,5.8,5.8,5.8,5.8,5.7,Defensive Stopper,0.020000000000000462,0.020000000000000462,0.020000000000000462,0.020000000000000462,-0.07999999999999918
Moritz Jenz,Wolfsburg,281,6.2,6.2,6.2,6.2,6.3,Defensive Stopper,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.07999999999999918
Morteza Pouraliganji,Iran,106,8.3,8.3,8.3,8.3,8.6,Defensive Stopper,-0.0600000000000005,-0.0600000000000005,-0.0600000000000005,-0.0600000000000005,0.23999999999999844
Mouctar Diakhaby,Valencia,90,6.3,6.3,6.3,6.3,6.1,Defensive Stopper,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16000000000000014
Mykola Matvienko,Ukraine,282,8.2,8.2,8.2,7.7,8.1,Defensive Stopper,0.11999999999999922,0.11999999999999922,0.11999999999999922,-0.3799999999999999,0.019999999999999574
Nader Ghandri,Tunisia,106,5.8,5.8,5.8,5.8,5.6,Defensive Stopper,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16000000000000014
Nathan Aké,Netherlands,106,9.1,9.1,9.1,9.1,8.5,Defensive Stopper,0.11999999999999922,0.11999999999999922,0.11999999999999922,0.11999999999999922,-0.4800000000000004
Nayef Aguerd,Morocco,106,9.1,9.1,9.1,9.1,8.7,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.3200000000000003
Nehuén Pérez,Granada,90,6.0,6.0,6.0,6.0,5.8,Defensive Stopper,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16000000000000014
Nemanja Gudelj,Serbia,106,5.1,5.1,5.1,5.1,5.0,Defensive Stopper,0.019999999999999574,0.019999999999999574,0.019999999999999574,0.019999999999999574,-0.08000000000000007
Nico Schlotterbeck,Borussia Dortmund,281,6.7,6.7,6.7,6.6,7.4,Defensive Stopper,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,-0.22000000000000064,0.5800000000000001
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,106,6.9,6.9,6.9,6.9,6.7,Defensive Stopper,0.03999999999999915,0.03999999999999915,0.03999999999999915,0.03999999999999915,-0.16000000000000103
Nicolas Louis Marcel Cozza,Montpellier,108,5.9,5.9,5.9,5.9,6.1,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.15999999999999925
Nicolas Sebastian Frey,Chievo,27,8.3,8.3,8.3,6.9,8.5,Defensive Stopper,0.2400000000000002,0.2400000000000002,0.2400000000000002,-1.1600000000000001,0.4399999999999995
Niklas Stark,Werder Bremen,281,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Niklas Süle,Germany,106,6.9,6.9,6.9,6.9,7.1,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.15999999999999925
Nikola Maksimović,Torino,27,9.5,9.5,9.5,8.4,9.5,Defensive Stopper,0.22000000000000064,0.22000000000000064,0.22000000000000064,-0.879999999999999,0.22000000000000064
Nikos Dabizas,Leicester City,44,5.8,5.8,5.8,5.7,5.5,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.019999999999999574,-0.21999999999999975
Noah Loosli,Bochum,281,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Norbert Gyömbér,Slovakia,282,4.8,4.8,4.8,4.8,4.9,Defensive Stopper,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.08000000000000007
Nordi Mukiele Mulere,Paris Saint-Germain,235,8.7,8.7,8.7,8.7,8.4,Defensive Stopper,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,-0.23999999999999844
Odilon Kossonou,Bayer Leverkusen,281,8.7,8.7,8.7,8.7,8.7,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Okay Yokuşlu,Turkey,282,4.8,4.8,4.8,4.8,4.8,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Oleksandr Svatok,Ukraine,282,5.4,5.4,5.4,5.3,5.1,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.020000000000000462,-0.22000000000000064
Otar Kakabadze,Georgia,282,5.5,5.5,5.5,5.4,5.3,Defensive Stopper,0.0600000000000005,0.0600000000000005,0.0600000000000005,-0.03999999999999915,-0.13999999999999968
Oumar Gonzalez,AC Ajaccio,235,5.7,5.7,5.7,5.7,5.4,Defensive Stopper,0.05999999999999961,0.05999999999999961,0.05999999999999961,0.05999999999999961,-0.2400000000000002
Ousmane Camara,Angers,235,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Ousmane Dembélé,Barcelona,90,5.4,5.4,5.4,5.4,5.4,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Pablo Paulino Rosario,OGC Nice,235,5.7,5.7,5.7,5.7,5.8,Defensive Stopper,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.07999999999999918
Pape Abou Cissé,Senegal,106,6.0,6.0,6.0,6.0,6.6,Defensive Stopper,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,0.47999999999999954
Pascal Cygan,Arsenal,44,8.7,8.7,8.7,8.7,8.7,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Patrice Evra,Juventus,27,5.5,5.5,5.5,5.1,5.3,Defensive Stopper,0.11999999999999922,0.11999999999999922,0.11999999999999922,-0.28000000000000114,-0.08000000000000096
Pau Francisco Torres,Villarreal,90,7.0,7.0,7.0,7.0,7.6,Defensive Stopper,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,0.47999999999999954
Paul Butler,Wolverhampton Wanderers,44,7.0,7.0,7.0,6.6,6.5,Defensive Stopper,0.17999999999999972,0.17999999999999972,0.17999999999999972,-0.22000000000000064,-0.3200000000000003
Paulo André Rodrigues de Oliveira,Eibar,4,6.5,6.5,6.5,6.2,6.2,Defensive Stopper,0.1200000000000001,0.1200000000000001,0.1200000000000001,-0.17999999999999972,-0.17999999999999972
Pedro Bigas Rigo,Eibar,4,6.4,6.4,6.4,6.1,6.9,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.34000000000000075,0.45999999999999996
Pedro González López,Barcelona,90,5.6,5.6,5.6,5.6,5.7,Defensive Stopper,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.08000000000000096
Pedro Miguel Almeida Lopes Pereira,Sampdoria,27,5.3,5.3,5.3,5.5,5.0,Defensive Stopper,0.020000000000000462,0.020000000000000462,0.020000000000000462,0.22000000000000064,-0.27999999999999936
Pedro Miguel Correia,Qatar,106,6.8,6.8,6.8,6.8,7.6,Defensive Stopper,-0.15999999999999925,-0.15999999999999925,-0.15999999999999925,-0.15999999999999925,0.6400000000000006
Peru Nolaskoain Esnal,Athletic Club,4,6.0,6.0,6.0,5.9,5.6,Defensive Stopper,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.0,-0.3000000000000007
Philipp Lienhart,Austria,282,7.3,7.3,7.3,6.9,6.8,Defensive Stopper,0.1800000000000006,0.1800000000000006,0.1800000000000006,-0.21999999999999886,-0.3199999999999994
Piero Martín Hincapié Reyna,Bayer Leverkusen,281,8.7,8.7,8.7,8.7,8.7,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Presnel Kimpembe,Paris Saint-Germain,108,8.7,8.7,8.7,8.7,8.7,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Rafael Jiménez Jarque,Cádiz,90,6.8,6.8,6.8,6.8,6.4,Defensive Stopper,0.07999999999999918,0.07999999999999918,0.07999999999999918,0.07999999999999918,-0.3200000000000003
Rafael Márquez Álvarez,Hellas Verona,27,9.5,9.5,9.5,9.0,9.5,Defensive Stopper,0.09999999999999964,0.09999999999999964,0.09999999999999964,-0.40000000000000036,0.09999999999999964
