defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Dejan Lovren,Croatia,621.9,9.1,9.1,9.1,9.1,8.5,6,6.9,0.03,0.03,0.03,0.03,0.05,8.98,43,106
Matías Agustín Silvestre,Sampdoria,2007.45,9.5,9.5,9.5,8.7,7.7,25,22.3,0.03,0.03,0.03,0.03,0.05,8.98,12,27
Jurriën David Norman Timber,Netherlands,407.93,9.1,9.1,9.1,9.1,8.4,4,4.5,0.03,0.03,0.03,0.03,0.05,8.96,43,106
Giorgio Chiellini,Juventus,1825.63,9.5,9.5,9.5,7.7,8.6,24,20.3,0.03,0.03,0.03,0.03,0.05,8.96,12,27
Daniele Gastaldello,Bologna,2262.55,9.5,9.5,9.5,7.9,8.4,26,25.1,0.03,0.03,0.03,0.03,0.05,8.96,12,27
Alessio Romagnoli,AC Milan,3032.4,9.5,9.5,9.5,8.1,8.2,34,33.7,0.03,0.03,0.03,0.03,0.05,8.96,12,27
Milan Biševac,Lazio,924.85,9.5,9.5,9.5,7.7,8.6,11,10.3,0.03,0.03,0.03,0.03,0.05,8.96,12,27
Filip Helander,Hellas Verona,1897.6,9.5,9.5,9.5,8.5,7.7,24,21.1,0.03,0.03,0.03,0.03,0.05,8.94,12,27
Virgil van Dijk,Netherlands,557.9,9.2,9.2,9.2,8.6,8.5,6,6.2,0.03,0.03,0.03,0.04,0.06,8.94,55,282
Cristian Gabriel Romero,Argentina,564.9,9.1,9.1,9.1,9.1,8.3,7,6.3,0.03,0.03,0.03,0.03,0.05,8.94,43,106
Siniša Anđelković,Palermo,1881.4,9.5,9.5,9.5,8.2,8.0,22,20.9,0.03,0.03,0.03,0.03,0.05,8.94,12,27
Andrea Barzagli,Juventus,2717.5,9.5,9.5,9.5,7.9,8.3,30,30.2,0.03,0.03,0.03,0.03,0.05,8.94,12,27
Nicolás Andrés Burdisso,Genoa,2490.47,9.5,9.5,9.5,7.8,8.4,28,27.7,0.03,0.03,0.03,0.03,0.05,8.94,12,27
Lorenzo Tonelli,Empoli,2345.58,9.5,9.5,9.5,8.0,8.2,26,26.1,0.03,0.03,0.03,0.03,0.05,8.94,12,27
Nicolás Federico Spolli,Chievo,771.8,9.5,9.5,9.5,9.1,7.1,14,8.6,0.03,0.03,0.03,0.03,0.05,8.94,12,27
Gonzalo Javier Rodríguez,Fiorentina,3221.47,9.5,9.5,9.5,7.8,8.3,35,35.8,0.03,0.03,0.03,0.03,0.05,8.92,12,27
Stefan de Vrij,Netherlands,557.88,9.2,9.2,9.2,8.6,8.4,6,6.2,0.03,0.03,0.03,0.04,0.06,8.92,55,282
Emanuele Suagher,Carpi,720.88,9.5,9.5,9.5,8.5,7.6,8,8.0,0.03,0.03,0.03,0.03,0.05,8.92,12,27
Giancarlo González Castro,Palermo,3183.32,9.5,9.5,9.5,7.7,8.4,35,35.4,0.03,0.03,0.03,0.03,0.05,8.92,12,27
Wout Faes,Belgium,361.97,9.2,9.2,9.2,9.1,7.9,4,4.0,0.03,0.03,0.03,0.04,0.06,8.92,55,282
Uroš Ćosić,Empoli,834.83,9.5,9.5,9.5,7.7,8.4,9,9.3,0.03,0.03,0.03,0.03,0.05,8.92,12,27
Lasha Dvali,Georgia,371.92,9.2,9.2,9.2,8.6,8.4,4,4.1,0.03,0.03,0.03,0.04,0.06,8.92,55,282
Ricardo Iván Rodríguez Araya,Switzerland,492.85,9.2,9.2,9.2,8.6,8.4,5,5.5,0.03,0.03,0.03,0.04,0.06,8.92,55,282
Davide Astori,Fiorentina,2979.4,9.5,9.5,9.5,7.7,8.3,33,33.1,0.03,0.03,0.03,0.03,0.05,8.9,12,27
Francesco Acerbi,Sassuolo,3323.3,9.5,9.5,9.5,7.8,8.2,36,36.9,0.03,0.03,0.03,0.03,0.05,8.9,12,27
Kye Rowles,Australia,369.95,9.1,9.1,9.1,9.1,8.1,4,4.1,0.03,0.03,0.03,0.03,0.05,8.9,43,106
Raúl Albiol i Tortajada,Napoli,3305.47,9.5,9.5,9.5,7.8,8.2,36,36.7,0.03,0.03,0.03,0.03,0.05,8.9,12,27
Niklas Moisander,Sampdoria,1829.37,9.5,9.5,9.5,8.0,8.0,22,20.3,0.03,0.03,0.03,0.03,0.05,8.9,12,27
Konstantinos Manolas,AS Roma,3191.47,9.5,9.5,9.5,7.8,8.1,37,35.5,0.03,0.03,0.03,0.03,0.05,8.88,12,27
Alex Rodrigo Dias da Costa,AC Milan,2158.53,9.5,9.5,9.5,8.4,7.5,25,24.0,0.03,0.03,0.03,0.03,0.05,8.88,12,27
Rodrigo Hernández Cascante,Spain,412.93,9.1,9.1,9.1,9.1,8.0,4,4.6,0.03,0.03,0.03,0.03,0.05,8.88,43,106
Manuel Obafemi Akanji,Switzerland,483.93,9.2,9.2,9.2,8.6,8.2,5,5.4,0.03,0.03,0.03,0.04,0.06,8.88,55,282
Robin Aime Robert Le Normand,Spain,454.93,9.2,9.2,9.2,8.6,8.2,6,5.1,0.03,0.03,0.03,0.04,0.06,8.88,55,282
Leandro Castán da Silva,AS Roma,381.92,9.5,9.5,9.5,8.8,7.1,5,4.2,0.03,0.03,0.03,0.03,0.05,8.88,12,27
Jannik Vestergaard,Denmark,367.95,9.2,9.2,9.2,8.6,8.1,4,4.1,0.03,0.03,0.03,0.04,0.06,8.86,55,282
Radu Drăgușin,Romania,365.93,9.2,9.2,9.2,8.6,8.1,4,4.1,0.03,0.03,0.03,0.04,0.06,8.86,55,282
Kamil Glik,Torino,3060.28,9.5,9.5,9.5,8.1,7.7,33,34.0,0.03,0.03,0.03,0.03,0.05,8.86,12,27
Lorenzo Ariaudo,Empoli,432.9,9.5,9.5,9.5,7.7,8.0,9,4.8,0.03,0.03,0.03,0.03,0.05,8.84,12,27
John Stones,England,691.9,9.2,9.2,9.2,8.6,8.0,7,7.7,0.03,0.03,0.03,0.04,0.06,8.84,55,282
Rúben Santos Gato Alves Dias,Portugal,425.92,9.2,9.2,9.2,8.6,8.0,4,4.7,0.03,0.03,0.03,0.04,0.06,8.84,55,282
Nicolás Hernán Otamendi,Argentina,730.87,9.1,9.1,9.1,9.1,7.7,7,8.1,0.03,0.03,0.03,0.03,0.05,8.82,43,106
Andrei Burcă Andonie,Romania,346.97,9.1,9.1,9.1,8.5,8.3,4,3.9,0.03,0.03,0.03,0.04,0.06,8.82,55,282
Kléper Laveran Lima Ferreira,Portugal,398.97,9.2,9.2,9.2,8.6,7.9,4,4.4,0.03,0.03,0.03,0.04,0.06,8.82,55,282
Andrea Costa,Empoli,2147.55,9.5,9.5,9.5,7.7,7.9,24,23.9,0.03,0.03,0.03,0.03,0.05,8.82,12,27
Alessandro Gamberini,Chievo,1844.65,9.5,9.5,9.5,7.9,7.6,22,20.5,0.03,0.03,0.03,0.03,0.05,8.8,12,27
Luca Antei,Sassuolo,352.92,9.4,9.4,9.4,8.3,7.5,5,3.9,0.03,0.03,0.03,0.03,0.05,8.8,12,27
Samet Akaydin,Turkey,343.97,9.0,9.0,9.0,8.5,8.5,4,3.8,0.03,0.03,0.03,0.04,0.06,8.8,55,282
Marc Guehi,England,583.92,9.2,9.2,9.2,8.6,7.7,6,6.5,0.03,0.03,0.03,0.04,0.06,8.78,55,282
Guram Kashia,Georgia,371.93,9.2,9.2,9.2,8.6,7.7,4,4.1,0.03,0.03,0.03,0.04,0.06,8.78,55,282
Vlad Iulian Chiricheș,Napoli,703.92,9.5,9.5,9.5,7.7,7.6,8,7.8,0.03,0.03,0.03,0.03,0.05,8.76,12,27
William Saliba,France,588.9,9.2,9.2,9.2,8.6,7.5,6,6.5,0.03,0.03,0.03,0.04,0.06,8.74,55,282
José Martín Cáceres Silva,Juventus,448.95,9.5,9.5,9.5,7.7,7.5,6,5.0,0.03,0.03,0.03,0.03,0.05,8.74,12,27
Federico Barba,Empoli,917.85,9.5,9.5,9.5,7.7,7.4,10,10.2,0.03,0.03,0.03,0.03,0.05,8.72,12,27
El Chadaille Bitshiabu,Paris Saint-Germain,462.67,8.7,8.7,8.7,8.7,8.7,9,5.1,0.02,0.02,0.02,0.03,0.03,8.7,7,235
Sulzeer Jeremiah ''Sol' Campbell,Arsenal,3103.4,8.7,8.7,8.7,8.7,8.7,35,34.5,0.03,0.03,0.03,0.03,0.06,8.7,2,44
Presnel Kimpembe,Paris Saint-Germain,1626.73,8.7,8.7,8.7,8.7,8.7,18,18.1,0.03,0.03,0.03,0.03,0.05,8.7,7,108
Piero Martín Hincapié Reyna,Bayer Leverkusen,1360.8,8.7,8.7,8.7,8.7,8.7,17,15.1,0.02,0.02,0.02,0.03,0.04,8.7,9,281
Josip Stanišić,Bayer Leverkusen,1121.47,8.7,8.7,8.7,8.7,8.7,16,12.5,0.02,0.02,0.02,0.03,0.04,8.7,9,281
Samuel Yves Umtiti,Barcelona,1027.82,8.7,8.7,8.7,8.7,8.7,12,11.4,0.02,0.02,0.02,0.03,0.04,8.7,11,4
Odilon Kossonou,Bayer Leverkusen,1867.03,8.7,8.7,8.7,8.7,8.7,22,20.7,0.02,0.02,0.02,0.03,0.04,8.7,9,281
Marcos Aoás Corrêa,Paris Saint-Germain,2225.45,8.7,8.7,8.7,8.7,8.7,27,24.7,0.02,0.02,0.02,0.03,0.03,8.7,7,235
Clément Lenglet,Barcelona,2465.43,8.7,8.7,8.7,8.7,8.7,32,27.4,0.02,0.02,0.02,0.03,0.04,8.7,11,90
Pascal Cygan,Arsenal,939.83,8.7,8.7,8.7,8.7,8.7,11,10.4,0.03,0.03,0.03,0.03,0.06,8.7,2,44
Óscar Mingueza García,Barcelona,1311.82,8.7,8.7,8.7,8.7,8.7,16,14.6,0.02,0.02,0.02,0.03,0.04,8.7,11,90
Ronald Federico Araújo da Silva,Barcelona,1244.18,8.7,8.7,8.7,8.7,8.7,21,13.8,0.02,0.02,0.02,0.03,0.04,8.7,11,90
Kolo Habib Touré,Arsenal,2550.43,8.7,8.7,8.7,8.7,8.7,28,28.3,0.03,0.03,0.03,0.03,0.06,8.7,2,44
Gerard Piqué Bernabéu,Barcelona,3043.42,8.7,8.7,8.7,8.7,8.7,33,33.8,0.02,0.02,0.02,0.03,0.04,8.7,11,4
Danilo Luís Hélio Pereira,Paris Saint-Germain,1910.77,8.7,8.7,8.7,8.7,8.7,24,21.2,0.02,0.02,0.02,0.03,0.03,8.7,7,235
Thomas Vermaelen,Barcelona,430.92,8.7,8.7,8.7,8.7,8.7,6,4.8,0.02,0.02,0.02,0.03,0.04,8.7,11,4
Robert Andrich,Bayer Leverkusen,546.92,8.7,8.7,8.7,8.7,8.7,6,6.1,0.02,0.02,0.02,0.03,0.04,8.7,9,281
Frenkie de Jong,Barcelona,870.87,8.7,8.7,8.7,8.7,8.7,10,9.7,0.02,0.02,0.02,0.03,0.04,8.7,11,90
Sergio Ramos García,Paris Saint-Germain,2301.7,8.7,8.7,8.7,8.7,8.7,27,25.6,0.02,0.02,0.02,0.03,0.03,8.7,7,235
Edmond Fayçal Tapsoba,Bayer Leverkusen,2144.4,8.7,8.7,8.7,8.6,8.7,27,23.8,0.02,0.02,0.02,0.03,0.04,8.68,9,281
Pontus Jansson,Torino,626.92,9.5,9.5,9.5,7.7,7.1,7,7.0,0.03,0.03,0.03,0.03,0.05,8.66,12,27
Andreas Christensen,Denmark,350.97,9.1,9.1,9.1,8.5,7.5,4,3.9,0.03,0.03,0.03,0.04,0.06,8.66,55,282
Martin Keown,Arsenal,344.53,8.7,8.7,8.7,8.5,8.7,5,3.8,0.03,0.03,0.03,0.03,0.06,8.66,2,44
Kyle Walker,England,329.97,8.8,8.8,8.8,8.3,8.5,3,3.7,0.03,0.03,0.03,0.04,0.06,8.64,55,282
Jonathan Tah,Bayer Leverkusen,2697.57,8.7,8.7,8.7,8.5,8.6,31,30.0,0.02,0.02,0.02,0.03,0.04,8.64,9,281
Nordi Mukiele Mulere,Paris Saint-Germain,493.72,8.7,8.7,8.7,8.7,8.4,8,5.5,0.02,0.02,0.02,0.03,0.03,8.64,7,235
Lisandro Martínez,Argentina,319.93,8.6,8.6,8.6,8.6,8.3,5,3.6,0.03,0.03,0.03,0.03,0.05,8.54,43,106
José María Giménez de Vargas,Uruguay,296.95,8.3,8.3,8.3,9.1,8.4,3,3.3,0.03,0.03,0.03,0.03,0.05,8.48,43,106
Emanuele Terranova,Sassuolo,338.77,9.2,9.2,9.2,7.5,7.3,6,3.8,0.03,0.03,0.03,0.03,0.05,8.48,12,27
Mohamed Salisu,Ghana,295.95,8.3,8.3,8.3,8.3,9.1,3,3.3,0.03,0.03,0.03,0.03,0.05,8.46,43,106
Ibrahima Konaté,France,312.75,8.5,8.5,8.5,8.5,7.9,5,3.5,0.03,0.03,0.03,0.03,0.05,8.38,43,106
Jawad El Yamiq,Morocco,319.77,8.6,8.6,8.6,8.6,7.5,6,3.6,0.03,0.03,0.03,0.03,0.05,8.38,43,106
Chris Mepham,Wales,288.95,8.2,8.2,8.2,9.0,8.3,3,3.2,0.03,0.03,0.03,0.03,0.05,8.38,43,106
Strahinja Pavlović,Serbia,282.92,8.2,8.2,8.2,9.2,8.0,3,3.1,0.03,0.03,0.03,0.04,0.06,8.36,55,282
Morteza Pouraliganji,Iran,295.93,8.3,8.3,8.3,8.3,8.6,3,3.3,0.03,0.03,0.03,0.03,0.05,8.36,43,106
Unai Bustinza Martínez,Leganés,184.93,8.0,8.0,8.0,8.7,8.7,2,2.1,0.02,0.02,0.02,0.03,0.04,8.28,11,42
Óscar Esau Duarte Gaitán,Costa Rica,275.95,8.1,8.1,8.1,8.1,9.0,3,3.1,0.03,0.03,0.03,0.03,0.05,8.28,43,106
Kamal Miller,Canada,283.95,8.2,8.2,8.2,8.2,8.5,3,3.2,0.03,0.03,0.03,0.03,0.05,8.26,43,106
Nikola Milenković,Serbia,284.95,8.2,8.2,8.2,9.1,7.5,3,3.2,0.03,0.03,0.03,0.03,0.05,8.24,43,106
Walker Zimmerman,United States,302.9,8.4,8.4,8.4,8.4,7.5,4,3.4,0.03,0.03,0.03,0.03,0.05,8.22,43,106
Héctor Alfredo Moreno Herrera,Mexico,284.93,8.2,8.2,8.2,8.2,8.3,3,3.2,0.03,0.03,0.03,0.03,0.05,8.22,43,106
Aleandro Rosi,Frosinone,272.97,8.2,8.2,8.2,8.4,8.1,3,3.0,0.03,0.03,0.03,0.03,0.05,8.22,12,27
Yassine Meriah,Tunisia,289.93,8.2,8.2,8.2,8.2,8.2,3,3.2,0.03,0.03,0.03,0.03,0.05,8.2,43,106
Montassar Omar Talbi,Tunisia,289.92,8.2,8.2,8.2,8.2,8.2,3,3.2,0.03,0.03,0.03,0.03,0.05,8.2,43,106
Felix Eduardo Torres Caicedo,Ecuador,286.95,8.2,8.2,8.2,8.2,8.2,3,3.2,0.03,0.03,0.03,0.03,0.05,8.2,43,106
Vasyl Pryyma,Frosinone,304.87,8.7,8.7,8.7,7.2,7.6,4,3.4,0.03,0.03,0.03,0.03,0.05,8.18,12,27
Gastón Alexis Silva Perdomo,Torino,279.95,8.3,8.3,8.3,9.0,6.9,3,3.1,0.03,0.03,0.03,0.03,0.05,8.16,12,27
Steven de Sousa Vitoria,Canada,282.95,8.2,8.2,8.2,8.2,8.0,3,3.1,0.03,0.03,0.03,0.03,0.05,8.16,43,106
Tomáš Holeš,Czech Republic,273.92,8.1,8.1,8.1,7.6,8.8,3,3.0,0.03,0.03,0.03,0.04,0.06,8.14,55,282
Robin Hranáč,Czech Republic,280.92,8.2,8.2,8.2,8.6,7.5,3,3.1,0.03,0.03,0.03,0.04,0.06,8.14,55,282
Antonio José Raillo Arenas,Mallorca,185.97,8.0,8.0,8.0,8.0,8.6,2,2.1,0.02,0.02,0.02,0.03,0.04,8.12,11,42
Min Jae Kim,South Korea,281.95,8.1,8.1,8.1,8.1,8.2,3,3.1,0.03,0.03,0.03,0.03,0.05,8.12,43,106
Milos Veljkovic,Serbia,282.95,8.2,8.2,8.2,7.7,8.3,3,3.1,0.03,0.03,0.03,0.04,0.06,8.12,55,282
Abdelkarim Hassan Al Haj Fadlalla,Qatar,277.97,8.1,8.1,8.1,8.1,8.2,3,3.1,0.03,0.03,0.03,0.03,0.05,8.12,43,106
Seyed Majid Hosseini,Iran,291.92,8.3,8.3,8.3,8.3,7.3,3,3.2,0.03,0.03,0.03,0.03,0.05,8.1,43,106
Mykola Matvienko,Ukraine,280.95,8.2,8.2,8.2,7.7,8.1,3,3.1,0.03,0.03,0.03,0.04,0.06,8.08,55,282
Illia Zabarnyi,Ukraine,279.93,8.1,8.1,8.1,7.7,8.4,3,3.1,0.03,0.03,0.03,0.04,0.06,8.08,55,282
César Jasib Montes Castro,Mexico,279.93,8.1,8.1,8.1,8.1,8.0,3,3.1,0.03,0.03,0.03,0.03,0.05,8.08,43,106
Abdou Diallo,Paris Saint-Germain,278.95,7.9,7.9,7.9,7.9,8.7,3,3.1,0.03,0.03,0.03,0.03,0.05,8.06,7,108
Daniel Amartey,Ghana,285.95,8.2,8.2,8.2,8.2,7.5,3,3.2,0.03,0.03,0.03,0.03,0.05,8.06,43,106
Boualem Khoukhi,Qatar,286.9,8.2,8.2,8.2,8.2,7.5,3,3.2,0.03,0.03,0.03,0.03,0.05,8.06,43,106
Nicolas Sebastian Frey,Chievo,275.97,8.3,8.3,8.3,6.9,8.5,3,3.1,0.03,0.03,0.03,0.03,0.05,8.06,12,27
Pedro Alcalá Guirado,Girona,183.97,7.9,7.9,7.9,8.3,8.1,2,2.0,0.02,0.02,0.02,0.03,0.04,8.02,11,4
Jack Hendry,Scotland,281.97,8.2,8.2,8.2,7.7,7.8,3,3.1,0.03,0.03,0.03,0.04,0.06,8.02,55,282
Toby Alderweireld,Belgium,279.95,8.1,8.1,8.1,8.1,7.6,3,3.1,0.03,0.03,0.03,0.03,0.05,8.0,43,106
Marcos Alonso Mendoza,Fiorentina,280.95,8.3,8.3,8.3,7.2,7.8,3,3.1,0.03,0.03,0.03,0.03,0.05,7.98,12,27
Joseph Aidoo,Celta Vigo,182.97,8.0,8.0,8.0,7.8,8.1,2,2.0,0.02,0.02,0.02,0.03,0.04,7.98,11,42
Joe Rodon,Wales,289.95,8.2,8.2,8.2,8.2,7.0,3,3.2,0.03,0.03,0.03,0.03,0.05,7.96,43,106
Ko Itakura,Japan,281.95,8.1,8.1,8.1,8.1,7.4,3,3.1,0.03,0.03,0.03,0.03,0.05,7.96,43,106
Vasco Regini,Sampdoria,267.98,8.2,8.2,8.2,8.4,6.8,4,3.0,0.03,0.03,0.03,0.03,0.05,7.96,12,27
Marc Bartra Aregall,Real Betis,182.95,7.9,7.9,7.9,8.2,7.9,2,2.0,0.02,0.02,0.02,0.03,0.04,7.96,11,4
Willi Orban,Hungary,283.93,8.2,8.2,8.2,7.7,7.5,3,3.2,0.03,0.03,0.03,0.04,0.06,7.96,55,282
Fernando Calero Villa,Real Valladolid,187.93,8.0,8.0,8.0,7.9,7.7,2,2.1,0.02,0.02,0.02,0.03,0.04,7.92,11,4
Juan Pedro Ramírez López,Girona,182.95,7.9,7.9,7.9,8.0,7.9,2,2.0,0.02,0.02,0.02,0.03,0.04,7.92,11,4
Ladislav Krejčí,Czech Republic,275.92,8.1,8.1,8.1,7.6,7.7,3,3.1,0.03,0.03,0.03,0.04,0.06,7.92,55,282
Yeray Álvarez López,Athletic Club,181.97,7.9,7.9,7.9,7.3,8.6,2,2.0,0.02,0.02,0.02,0.03,0.04,7.92,11,4
Aritz Elustondo Irribaria,Real Sociedad,186.97,8.0,8.0,8.0,8.2,7.4,2,2.1,0.02,0.02,0.02,0.03,0.04,7.92,11,4
Lucas Digne,AS Roma,274.97,8.3,8.3,8.3,7.8,6.9,3,3.1,0.03,0.03,0.03,0.03,0.05,7.92,12,27
Berat Djimsiti,Albania,280.92,8.2,8.2,8.2,7.7,7.2,3,3.1,0.03,0.03,0.03,0.04,0.06,7.9,55,282
Jan Vertonghen,Belgium,279.95,8.1,8.1,8.1,8.1,7.1,3,3.1,0.03,0.03,0.03,0.03,0.05,7.9,43,106
Danilo D''Ambrosio,Inter Milan,274.95,8.3,8.3,8.3,7.4,7.2,3,3.1,0.03,0.03,0.03,0.03,0.05,7.9,12,27
Sergio Postigo Redondo,Levante UD,179.93,7.9,7.9,7.9,7.7,8.0,2,2.0,0.02,0.02,0.02,0.03,0.04,7.88,11,42
Rúben Miguel Nunes Vezo,Levante UD,186.97,8.0,8.0,8.0,7.0,8.3,2,2.1,0.02,0.02,0.02,0.03,0.04,7.86,11,42
Jan Bednarek,Poland,281.93,8.2,8.2,8.2,7.7,7.0,3,3.1,0.03,0.03,0.03,0.04,0.06,7.86,55,282
Leandro Daniel Cabrera Sasía,Getafe,179.97,7.8,7.8,7.8,8.4,7.5,2,2.0,0.02,0.02,0.02,0.03,0.04,7.86,11,4
Josip Šutalo,Croatia,289.95,8.3,8.3,8.3,7.8,6.6,3,3.2,0.03,0.03,0.03,0.04,0.06,7.86,55,282
Sergi Gómez Solà,Sevilla,179.98,7.8,7.8,7.8,8.3,7.3,2,2.0,0.02,0.02,0.02,0.03,0.04,7.8,11,4
Anaitz Arbilla Zabala,Eibar,179.98,7.9,7.9,7.9,6.9,8.4,2,2.0,0.02,0.02,0.02,0.03,0.04,7.8,11,42
Riccardo Calafiori,Italy,279.95,8.1,8.1,8.1,7.7,7.0,3,3.1,0.03,0.03,0.03,0.04,0.06,7.8,55,282
Diego Carlos Santos Silva,Sevilla,175.93,7.9,7.9,7.9,6.9,8.3,2,2.0,0.02,0.02,0.02,0.03,0.04,7.78,11,42
José Ignacio Fernández Iglesias,Spain,271.93,8.0,8.0,8.0,7.6,7.1,4,3.0,0.03,0.03,0.03,0.04,0.06,7.74,55,282
Maurizio Domizzi,Udinese,259.98,8.0,8.0,8.0,6.7,8.0,3,2.9,0.03,0.03,0.03,0.03,0.05,7.74,12,27
Sidnei Rechel da Silva Júnior,Real Betis,187.97,8.0,8.0,8.0,7.4,7.1,2,2.1,0.02,0.02,0.02,0.03,0.04,7.7,11,4
Víctor Laguardia Cisneros,Deportivo Alavés,181.98,7.9,7.9,7.9,7.3,7.5,2,2.0,0.02,0.02,0.02,0.03,0.04,7.7,11,4
Aïssa Mandi,Real Betis,187.95,8.0,8.0,8.0,7.4,7.1,2,2.1,0.02,0.02,0.02,0.03,0.04,7.7,11,4
Thilo Kehrer,Paris Saint-Germain,268.92,7.8,7.8,7.8,7.8,7.2,6,3.0,0.03,0.03,0.03,0.03,0.05,7.68,7,108
Sergi Roberto Carnicer,Barcelona,186.97,8.0,8.0,8.0,7.0,7.4,2,2.1,0.02,0.02,0.02,0.03,0.04,7.68,11,42
Rodrigo Tarín Higón,Leganés,183.9,7.9,7.9,7.9,7.3,7.4,2,2.0,0.02,0.02,0.02,0.03,0.04,7.68,11,4
Álvaro González Soberón,Villarreal,172.98,7.7,7.7,7.7,8.1,7.2,2,1.9,0.02,0.02,0.02,0.03,0.04,7.68,11,4
Víctor Ruíz Torre,Villarreal,183.97,7.9,7.9,7.9,7.3,7.3,2,2.0,0.02,0.02,0.02,0.03,0.04,7.66,11,4
Martin Valjent,Mallorca,185.97,8.0,8.0,8.0,7.0,7.3,2,2.1,0.02,0.02,0.02,0.03,0.04,7.66,11,42
Roberto Suárez Pier,Levante UD,181.95,7.9,7.9,7.9,7.3,7.3,2,2.0,0.02,0.02,0.02,0.03,0.04,7.66,11,4
Ezequiel Marcelo Garay,Valencia,177.98,7.8,7.8,7.8,7.2,7.6,2,2.0,0.02,0.02,0.02,0.03,0.04,7.64,11,4
Davide Santon,Inter Milan,264.98,8.1,8.1,8.1,6.8,7.1,3,2.9,0.03,0.03,0.03,0.03,0.05,7.64,12,27
Bernardo José Espinosa Zúñiga,Espanyol,182.93,8.0,8.0,8.0,6.9,7.3,2,2.0,0.02,0.02,0.02,0.03,0.04,7.64,11,42
Samir Caetano de Souza Santos,Hellas Verona,263.98,8.1,8.1,8.1,6.8,6.9,3,2.9,0.03,0.03,0.03,0.03,0.05,7.6,12,27
Anthony Gardner,Tottenham Hotspur,184.93,7.1,7.1,7.1,8.7,8.0,2,2.1,0.03,0.03,0.03,0.03,0.06,7.6,2,44
Sylvain Distin,Manchester City,183.95,7.1,7.1,7.1,8.7,7.8,2,2.0,0.03,0.03,0.03,0.03,0.06,7.56,2,44
Felipe Augusto de Almeida Monteiro,Atlético Madrid,182.95,8.0,8.0,8.0,6.9,6.7,2,2.0,0.02,0.02,0.02,0.03,0.04,7.52,11,42
Francisco José Olivas Alba,Real Valladolid,180.97,7.9,7.9,7.9,6.9,6.9,2,2.0,0.02,0.02,0.02,0.03,0.04,7.5,11,42
Émerson Augusto Thome,Bolton Wanderers,178.97,7.0,7.0,7.0,7.8,8.4,2,2.0,0.03,0.03,0.03,0.03,0.06,7.44,2,44
Mikaël Silvestre,Manchester United,181.98,7.1,7.1,7.1,8.4,7.4,2,2.0,0.03,0.03,0.03,0.03,0.06,7.42,2,44
Diogo Filipe Monteiro Pinto Leite,Union Berlin,185.97,6.9,6.9,6.9,8.7,7.5,2,2.1,0.02,0.02,0.02,0.03,0.04,7.38,9,281
Patrick Mainka,FC Heidenheim,187.97,7.0,7.0,7.0,8.6,7.3,2,2.1,0.02,0.02,0.02,0.03,0.04,7.38,9,281
Kendall Jamaal Waston Manley,Costa Rica,233.93,7.5,7.5,7.5,7.5,6.9,3,2.6,0.03,0.03,0.03,0.03,0.05,7.38,43,106
Olof Mellberg,Aston Villa,182.97,7.1,7.1,7.1,7.6,7.9,2,2.0,0.03,0.03,0.03,0.03,0.06,7.36,2,44
Mario Hermoso Canseco,Atlético Madrid,184.97,7.0,7.0,7.0,7.8,8.0,2,2.1,0.02,0.02,0.02,0.03,0.04,7.36,11,90
Grant Campbell Hanley,Scotland,240.8,7.6,7.6,7.6,7.2,6.7,3,2.7,0.03,0.03,0.03,0.04,0.06,7.34,55,282
Yunis Abdelhamid,Stade de Reims,184.97,6.9,6.9,6.9,8.7,7.3,2,2.1,0.03,0.03,0.03,0.03,0.05,7.34,7,108
Íñigo Martínez Berridi,Athletic Club,183.97,7.0,7.0,7.0,7.8,7.9,2,2.0,0.02,0.02,0.02,0.03,0.04,7.34,11,90
Simon Thorup Kjær,Sevilla,145.97,7.3,7.3,7.3,7.9,6.9,2,1.6,0.02,0.02,0.02,0.03,0.04,7.34,11,4
Ozan Muhammed Kabak,Hoffenheim,189.97,7.0,7.0,7.0,8.1,7.6,2,2.1,0.02,0.02,0.02,0.03,0.04,7.34,9,281
