defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Kevin Danso,Austria,224.77,7.4,7.4,7.4,7.0,7.4,3,2.5,0.03,0.03,0.03,0.04,0.06,7.32,55,282
Alan Stubbs,Everton,183.97,7.1,7.1,7.1,6.7,8.6,2,2.0,0.03,0.03,0.03,0.03,0.06,7.32,2,44
Domingos Sousa Coutinho Meneses Duarte,Granada,168.0,7.7,7.7,7.7,6.8,6.6,2,1.9,0.02,0.02,0.02,0.03,0.04,7.3,11,42
Matteo Ciofani,Frosinone,220.75,7.4,7.4,7.4,7.1,7.2,4,2.5,0.03,0.03,0.03,0.03,0.05,7.3,12,27
Diego Javier Llorente Ríos,Real Sociedad,158.98,7.6,7.6,7.6,6.7,6.9,2,1.8,0.02,0.02,0.02,0.03,0.04,7.28,11,42
Abdulelah Al Amri,Saudi Arabia,194.27,7.0,7.0,7.0,7.0,8.2,3,2.2,0.03,0.03,0.03,0.03,0.05,7.24,43,106
Mats Hummels,Borussia Dortmund,189.97,7.0,7.0,7.0,7.6,7.5,2,2.1,0.02,0.02,0.02,0.03,0.04,7.22,9,281
Mark Fish,Charlton Athletic,183.95,7.1,7.1,7.1,7.2,7.5,2,2.0,0.03,0.03,0.03,0.03,0.06,7.2,2,44
Dimitrios Siovas,Huesca,179.95,6.9,6.9,6.9,7.6,7.7,2,2.0,0.02,0.02,0.02,0.03,0.04,7.2,11,90
Néstor Alejandro Araújo Razo,Celta Vigo,155.0,7.5,7.5,7.5,6.6,6.9,2,1.7,0.02,0.02,0.02,0.03,0.04,7.2,11,42
Shogo Taniguchi,Japan,209.95,7.2,7.2,7.2,7.2,7.2,2,2.3,0.03,0.03,0.03,0.03,0.05,7.2,43,106
Alistair Johnston,Canada,185.97,6.9,6.9,6.9,7.8,7.4,2,2.1,0.03,0.03,0.03,0.03,0.05,7.18,43,106
Hassan Mohammed Al-Tambakti,Saudi Arabia,198.97,7.1,7.1,7.1,7.1,7.4,2,2.2,0.03,0.03,0.03,0.03,0.05,7.16,43,106
Merih Demiral,Turkey,219.82,7.3,7.3,7.3,7.0,6.8,4,2.4,0.03,0.03,0.03,0.04,0.06,7.14,55,282
Michael Lennart Svensson,Southampton,181.97,7.1,7.1,7.1,6.7,7.7,2,2.0,0.03,0.03,0.03,0.03,0.06,7.14,2,44
Florian Grégoire Claude Lejeune,Deportivo Alavés,181.97,6.9,6.9,6.9,7.8,7.2,2,2.0,0.02,0.02,0.02,0.03,0.04,7.14,11,90
Ben Davies,Wales,196.97,7.1,7.1,7.1,7.1,7.2,2,2.2,0.03,0.03,0.03,0.03,0.05,7.12,43,106
Pau Francisco Torres,Villarreal,186.97,7.0,7.0,7.0,7.0,7.6,2,2.1,0.02,0.02,0.02,0.03,0.04,7.12,11,90
Riccardo Fiamozzi,Genoa,211.93,7.3,7.3,7.3,6.9,6.8,3,2.4,0.03,0.03,0.03,0.03,0.05,7.12,12,27
Ledley King,Tottenham Hotspur,182.97,7.1,7.1,7.1,7.6,6.7,2,2.0,0.03,0.03,0.03,0.03,0.06,7.12,2,44
"Andy O""Brien",Newcastle United,184.95,7.1,7.1,7.1,6.7,7.6,2,2.1,0.03,0.03,0.03,0.03,0.06,7.12,2,44
Philipp Lienhart,Austria,214.98,7.3,7.3,7.3,6.9,6.8,3,2.4,0.03,0.03,0.03,0.04,0.06,7.12,55,282
Márton Dárdai,Hungary,181.93,6.8,6.8,6.8,7.5,7.6,3,2.0,0.03,0.03,0.03,0.04,0.06,7.1,55,282
Willian Joel Pacho Tenorio,Eintracht Frankfurt,187.95,7.0,7.0,7.0,6.9,7.6,2,2.1,0.02,0.02,0.02,0.03,0.04,7.1,9,281
Craig Short,Blackburn Rovers,179.97,7.0,7.0,7.0,7.5,7.0,2,2.0,0.03,0.03,0.03,0.03,0.06,7.1,2,44
Gaetano Letizia,Carpi,183.97,6.9,6.9,6.9,7.6,7.2,2,2.0,0.03,0.03,0.03,0.03,0.05,7.1,12,27
Keven Schlotterbeck,Bochum,182.97,6.9,6.9,6.9,7.6,7.2,2,2.0,0.02,0.02,0.02,0.03,0.04,7.1,9,281
Marvin Friedrich,Borussia Mönchengladbach,184.97,6.9,6.9,6.9,7.8,6.9,2,2.1,0.02,0.02,0.02,0.03,0.04,7.08,9,281
Sebastián Coates Nión,Uruguay,192.95,7.0,7.0,7.0,7.0,7.3,2,2.1,0.03,0.03,0.03,0.03,0.05,7.06,43,106
Jules Koundé,Sevilla,185.97,7.0,7.0,7.0,7.0,7.3,2,2.1,0.02,0.02,0.02,0.03,0.04,7.06,11,90
Jeffrey Gouweleeuw,Augsburg,186.97,6.9,6.9,6.9,6.9,7.7,2,2.1,0.02,0.02,0.02,0.03,0.04,7.06,9,281
